sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004818375,2,1,read_only,64,80267,1.000000,1.000000,1.000000,{"1":80262,"2":5},0.999938,0.000062,0.000000,0.000000,0.999938,0.000062,1.000000
0.004818375,2,1,union,64,80267,1.000000,1.000000,1.000000,{"1":80262,"2":5},0.999938,0.000062,0.000000,0.000000,0.999938,0.000062,1.000000
0.004818375,2,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8188,"2":4},0.999512,0.000488,0.000000,0.000000,0.999512,0.000488,1.000000
0.004818375,2,1,read_only,256,40135,0.999875,0.999938,0.999875,{"1":80262,"2":5},0.999875,0.000125,0.000000,0.000000,0.999875,0.000000,0.000000
0.004818375,2,1,union,256,40135,0.999875,0.999938,0.999875,{"1":80262,"2":5},0.999875,0.000125,0.000000,0.000000,0.999875,0.000000,0.000000
0.004818375,2,1,snapshot,256,4116,0.999028,0.999514,0.999028,{"1":8188,"2":4},0.999028,0.000972,0.000000,0.000000,0.999028,0.000000,0.000000
0.004818375,2,1,read_only,1024,10035,0.999502,0.999801,0.999502,{"1":80262,"2":5},0.999502,0.000498,0.000000,0.000000,0.999502,0.000000,0.000000
0.004818375,2,1,union,1024,10035,0.999502,0.999801,0.999502,{"1":80262,"2":5},0.999502,0.000498,0.000000,0.000000,0.999502,0.000000,0.000000
0.004818375,2,1,snapshot,1024,1047,0.996180,0.998567,0.996180,{"1":8188,"2":4},0.996180,0.003820,0.000000,0.000000,0.996180,0.000000,0.000000
0.004818375,2,1,read_only,4096,2510,0.998008,0.999415,0.998008,{"1":80262,"2":5},0.998008,0.001992,0.000000,0.000000,0.998008,0.000000,0.000000
0.004818375,2,1,union,4096,2510,0.998008,0.999415,0.998008,{"1":80262,"2":5},0.998008,0.001992,0.000000,0.000000,0.998008,0.000000,0.000000
0.004818375,2,1,snapshot,4096,274,0.985401,0.998390,0.985401,{"1":8188,"2":4},0.985401,0.014599,0.000000,0.000000,0.985401,0.000000,0.000000
0.004818375,2,1,read_only,16384,630,0.982540,0.994730,0.982540,{"1":80262,"2":5},0.982540,0.017460,0.000000,0.000000,0.982540,0.000000,0.000000
0.004818375,2,1,union,16384,630,0.982540,0.994730,0.982540,{"1":80262,"2":5},0.982540,0.017460,0.000000,0.000000,0.982540,0.000000,0.000000
0.004818375,2,1,snapshot,16384,83,0.951807,0.998707,0.951807,{"1":8188,"2":4},0.951807,0.048193,0.000000,0.000000,0.951807,0.000000,0.000000
0.005051952,2,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8188,"2":4},0.999512,0.000488,0.000000,0.000000,0.999512,0.000488,1.000000
0.005051952,2,2,snapshot,256,4116,0.999028,0.999514,0.999028,{"1":8188,"2":4},0.999028,0.000972,0.000000,0.000000,0.999028,0.000000,0.000000
0.005051952,2,2,snapshot,1024,1047,0.996180,0.998567,0.996180,{"1":8188,"2":4},0.996180,0.003820,0.000000,0.000000,0.996180,0.000000,0.000000
0.005051952,2,2,snapshot,4096,274,0.985401,0.998390,0.985401,{"1":8188,"2":4},0.985401,0.014599,0.000000,0.000000,0.985401,0.000000,0.000000
0.005051952,2,2,snapshot,16384,83,0.951807,0.998707,0.951807,{"1":8188,"2":4},0.951807,0.048193,0.000000,0.000000,0.951807,0.000000,0.000000
0.005288580,2,3,read_only,64,268,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,union,64,268,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,snapshot,64,8192,1.000000,1.000000,1.000000,{"0":1,"1":8187,"2":4},0.999390,0.000488,0.000000,0.000000,0.999390,0.000488,1.000000
0.005288580,2,3,read_only,256,186,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,union,256,186,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,snapshot,256,4220,0.998815,0.999408,0.998815,{"0":1,"1":8187,"2":4},0.999052,0.000948,0.000000,0.000000,0.998815,0.000000,0.000000
0.005288580,2,3,read_only,1024,72,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,union,1024,72,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,snapshot,1024,1110,0.995495,0.998348,0.995495,{"0":1,"1":8187,"2":4},0.996396,0.003604,0.000000,0.000000,0.995495,0.000000,0.000000
0.005288580,2,3,read_only,4096,22,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,union,4096,22,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,snapshot,4096,293,0.982935,0.998243,0.982935,{"0":1,"1":8187,"2":4},0.986348,0.013652,0.000000,0.000000,0.982935,0.000000,0.000000
0.005288580,2,3,read_only,16384,16,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,union,16384,16,1.000000,1.000000,1.000000,{"1":268},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005288580,2,3,snapshot,16384,98,0.948980,0.998261,0.948980,{"0":1,"1":8187,"2":4},0.959184,0.040816,0.000000,0.000000,0.948980,0.000000,0.000000
0.006410820,2,4,read_only,64,14927,1.000000,1.000000,1.000000,{"1":11207,"2":3589,"3":131},0.750787,0.240437,0.008776,0.000000,0.750787,0.249213,1.000000
0.006410820,2,4,union,64,15956,1.000000,1.000000,1.000000,{"1":12034,"2":3791,"3":131},0.754199,0.237591,0.008210,0.000000,0.754199,0.245801,1.000000
0.006410820,2,4,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":5102,"2":2961,"3":129},0.622803,0.361450,0.015747,0.000000,0.622803,0.377197,1.000000
0.006410820,2,4,read_only,256,7675,0.889772,0.944886,0.889772,{"1":11207,"2":3589,"3":131},0.687687,0.296287,0.016026,0.000000,0.687687,0.202085,0.647059
0.006410820,2,4,union,256,7987,0.864029,0.932015,0.864029,{"1":12034,"2":3791,"3":131},0.686491,0.296607,0.016902,0.000000,0.686491,0.177539,0.566294
0.006410820,2,4,snapshot,256,4411,0.863976,0.931988,0.863976,{"1":5102,"2":2961,"3":129},0.557017,0.413285,0.029698,0.000000,0.557017,0.306960,0.692938
0.006410820,2,4,read_only,1024,1985,0.666499,0.901083,0.666499,{"1":11207,"2":3589,"3":131},0.567758,0.391436,0.040806,0.000000,0.567758,0.098741,0.228438
0.006410820,2,4,union,1024,2003,0.629056,0.889576,0.629056,{"1":12034,"2":3791,"3":131},0.563155,0.389416,0.047429,0.000000,0.563155,0.065901,0.150857
0.006410820,2,4,snapshot,1024,1273,0.597800,0.881900,0.597800,{"1":5102,"2":2961,"3":129},0.421053,0.505892,0.073056,0.000000,0.421053,0.176748,0.305292
0.006410820,2,4,read_only,4096,503,0.473161,0.833955,0.473161,{"1":11207,"2":3589,"3":131},0.447316,0.451292,0.101392,0.000000,0.447316,0.025845,0.046763
