sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004532807,3,1,read_only,64,79220,1.000000,1.000000,1.000000,{"1":79220},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,union,64,79220,1.000000,1.000000,1.000000,{"1":79220},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,read_only,256,39621,0.999975,0.999987,0.999975,{"1":79220},0.999975,0.000025,0.000000,0.000000,0.999975,0.000000,0.000000
0.004532807,3,1,union,256,39621,0.999975,0.999987,0.999975,{"1":79220},0.999975,0.000025,0.000000,0.000000,0.999975,0.000000,0.000000
0.004532807,3,1,snapshot,256,4148,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,read_only,1024,9911,0.999899,0.999962,0.999899,{"1":79220},0.999899,0.000101,0.000000,0.000000,0.999899,0.000000,0.000000
0.004532807,3,1,union,1024,9911,0.999899,0.999962,0.999899,{"1":79220},0.999899,0.000101,0.000000,0.000000,0.999899,0.000000,0.000000
0.004532807,3,1,snapshot,1024,1067,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,read_only,4096,2479,0.999597,0.999937,0.999597,{"1":79220},0.999597,0.000403,0.000000,0.000000,0.999597,0.000000,0.000000
0.004532807,3,1,union,4096,2479,0.999597,0.999937,0.999597,{"1":79220},0.999597,0.000403,0.000000,0.000000,0.999597,0.000000,0.000000
0.004532807,3,1,snapshot,4096,278,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004532807,3,1,read_only,16384,628,0.998408,0.999938,0.998408,{"1":79220},0.998408,0.001592,0.000000,0.000000,0.998408,0.000000,0.000000
0.004532807,3,1,union,16384,628,0.998408,0.999938,0.998408,{"1":79220},0.998408,0.001592,0.000000,0.000000,0.998408,0.000000,0.000000
0.004532807,3,1,snapshot,16384,84,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,read_only,64,13301,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,union,64,13301,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,read_only,256,6664,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,union,256,6664,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,snapshot,256,4201,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,read_only,1024,1680,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,union,1024,1680,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,snapshot,1024,1127,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,read_only,4096,424,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,union,4096,424,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,snapshot,4096,314,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005047567,3,2,read_only,16384,115,1.000000,1.000000,1.000000,{"1":13301},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
