sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.000407358,5,0,read_only,64,6532,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,union,64,6532,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,snapshot,64,6533,1.000000,1.000000,1.000000,{"0":1,"1":6532},0.999847,0.000000,0.000000,0.000000,0.999847,0.000000,-1.000000
0.000407358,5,0,read_only,256,3267,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,union,256,3267,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,snapshot,256,3268,1.000000,1.000000,1.000000,{"0":1,"1":6532},0.999694,0.000000,0.000000,0.000000,0.999694,0.000000,-1.000000
0.000407358,5,0,read_only,1024,833,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,union,1024,833,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,snapshot,1024,834,1.000000,1.000000,1.000000,{"0":1,"1":6532},0.998801,0.000000,0.000000,0.000000,0.998801,0.000000,-1.000000
0.000407358,5,0,read_only,4096,213,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,union,4096,213,1.000000,1.000000,1.000000,{"1":6532},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.000407358,5,0,snapshot,4096,214,1.000000,1.000000,1.000000,{"0":1,"1":6532},0.995327,0.000000,0.000000,0.000000,0.995327,0.000000,-1.000000
0.000407358,5,0,read_only,16384,55,0.981818,0.995455,0.981818,{"1":6532},0.981818,0.018182,0.000000,0.000000,0.981818,0.000000,0.000000
0.000407358,5,0,union,16384,55,0.981818,0.995455,0.981818,{"1":6532},0.981818,0.018182,0.000000,0.000000,0.981818,0.000000,0.000000
0.000407358,5,0,snapshot,16384,56,0.982143,0.995536,0.982143,{"0":1,"1":6532},0.964286,0.017857,0.000000,0.000000,0.964286,0.000000,0.000000
0.004405139,5,1,read_only,64,79352,1.000000,1.000000,1.000000,{"1":79350,"2":2},0.999975,0.000025,0.000000,0.000000,0.999975,0.000025,1.000000
0.004405139,5,1,union,64,79352,1.000000,1.000000,1.000000,{"1":79350,"2":2},0.999975,0.000025,0.000000,0.000000,0.999975,0.000025,1.000000
0.004405139,5,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8190,"2":2},0.999756,0.000244,0.000000,0.000000,0.999756,0.000244,1.000000
0.004405139,5,1,read_only,256,39716,0.999950,0.999975,0.999950,{"1":79350,"2":2},0.999950,0.000050,0.000000,0.000000,0.999950,0.000000,0.000000
0.004405139,5,1,union,256,39716,0.999950,0.999975,0.999950,{"1":79350,"2":2},0.999950,0.000050,0.000000,0.000000,0.999950,0.000000,0.000000
0.004405139,5,1,snapshot,256,4235,1.000000,1.000000,1.000000,{"1":8190,"2":2},0.999528,0.000472,0.000000,0.000000,0.999528,0.000472,1.000000
0.004405139,5,1,read_only,1024,9958,0.999799,0.999937,0.999799,{"1":79350,"2":2},0.999799,0.000201,0.000000,0.000000,0.999799,0.000000,0.000000
