sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004169490,3,1,read_only,64,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,union,64,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,snapshot,64,8071,1.000000,1.000000,1.000000,{"1":8071},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,read_only,256,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,union,256,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,snapshot,256,8071,1.000000,1.000000,1.000000,{"1":8071},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,read_only,1024,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,union,1024,8898,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,snapshot,1024,8071,1.000000,1.000000,1.000000,{"1":8071},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,read_only,4096,2234,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,union,4096,2234,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,snapshot,4096,2053,1.000000,1.000000,1.000000,{"1":8071},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,read_only,16384,575,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,union,16384,575,1.000000,1.000000,1.000000,{"1":8898},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004169490,3,1,snapshot,16384,540,1.000000,1.000000,1.000000,{"1":8071},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.004814166,3,2,read_only,64,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,union,64,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004814166,3,2,read_only,256,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,union,256,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004814166,3,2,read_only,1024,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,union,1024,2674,1.000000,1.000000,1.000000,{"1":2673,"2":1},0.999626,0.000374,0.000000,0.000000,0.999626,0.000374,1.000000
0.004814166,3,2,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004814166,3,2,read_only,4096,680,0.998529,0.999632,0.998529,{"1":2673,"2":1},0.998529,0.001471,0.000000,0.000000,0.998529,0.000000,0.000000
0.004814166,3,2,union,4096,680,0.998529,0.999632,0.998529,{"1":2673,"2":1},0.998529,0.001471,0.000000,0.000000,0.998529,0.000000,0.000000
0.004814166,3,2,snapshot,4096,2066,0.999516,0.999879,0.999516,{"1":8191,"2":1},0.999516,0.000484,0.000000,0.000000,0.999516,0.000000,0.000000
0.004814166,3,2,read_only,16384,182,0.994505,0.999657,0.994505,{"1":2673,"2":1},0.994505,0.005495,0.000000,0.000000,0.994505,0.000000,0.000000
0.004814166,3,2,union,16384,182,0.994505,0.999657,0.994505,{"1":2673,"2":1},0.994505,0.005495,0.000000,0.000000,0.994505,0.000000,0.000000
0.004814166,3,2,snapshot,16384,541,0.998152,0.999884,0.998152,{"1":8191,"2":1},0.998152,0.001848,0.000000,0.000000,0.998152,0.000000,0.000000
0.005057354,3,3,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.005057354,3,3,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.005057354,3,3,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.005057354,3,3,snapshot,4096,2066,0.999516,0.999879,0.999516,{"1":8191,"2":1},0.999516,0.000484,0.000000,0.000000,0.999516,0.000000,0.000000
0.005057354,3,3,snapshot,16384,541,0.998152,0.999884,0.998152,{"1":8191,"2":1},0.998152,0.001848,0.000000,0.000000,0.998152,0.000000,0.000000
0.006166029,3,4,read_only,64,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,union,64,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.006166029,3,4,read_only,256,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,union,256,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.006166029,3,4,read_only,1024,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,union,1024,1488,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.006166029,3,4,read_only,4096,416,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,union,4096,416,1.000000,1.000000,1.000000,{"1":1488},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.006166029,3,4,snapshot,4096,2163,0.999538,0.999884,0.999538,{"1":8191,"2":1},0.999538,0.000462,0.000000,0.000000,0.999538,0.000000,0.000000
0.006166029,3,4,read_only,16384,107,0.981308,0.994265,0.981308,{"1":1488},0.981308,0.018692,0.000000,0.000000,0.981308,0.000000,0.000000
0.006166029,3,4,union,16384,107,0.981308,0.994265,0.981308,{"1":1488},0.981308,0.018692,0.000000,0.000000,0.981308,0.000000,0.000000
0.006166029,3,4,snapshot,16384,579,0.994819,0.998832,0.994819,{"1":8191,"2":1},0.994819,0.005181,0.000000,0.000000,0.994819,0.000000,0.000000
0.007812893,3,5,read_only,64,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,union,64,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":4502,"2":3690},0.549561,0.450439,0.000000,0.000000,0.549561,0.450439,1.000000
0.007812893,3,5,read_only,256,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,union,256,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":4502,"2":3690},0.549561,0.450439,0.000000,0.000000,0.549561,0.450439,1.000000
0.007812893,3,5,read_only,1024,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,union,1024,10016,1.000000,1.000000,1.000000,{"1":5551,"2":4465},0.554213,0.445787,0.000000,0.000000,0.554213,0.445787,1.000000
0.007812893,3,5,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":4502,"2":3690},0.549561,0.450439,0.000000,0.000000,0.549561,0.450439,1.000000
0.007812893,3,5,read_only,4096,2620,0.984351,0.994784,0.984351,{"1":5551,"2":4465},0.546947,0.450763,0.002290,0.000000,0.546947,0.437405,0.965459
0.007812893,3,5,union,4096,2620,0.984351,0.994784,0.984351,{"1":5551,"2":4465},0.546947,0.450763,0.002290,0.000000,0.546947,0.437405,0.965459
0.007812893,3,5,snapshot,4096,2194,0.963537,0.988491,0.963537,{"1":4502,"2":3690},0.538286,0.459891,0.001823,0.000000,0.538286,0.425251,0.921027
0.007812893,3,5,read_only,16384,766,0.891645,0.966785,0.891645,{"1":5551,"2":4465},0.492167,0.481723,0.026110,0.000000,0.492167,0.399478,0.786632
0.007812893,3,5,union,16384,766,0.891645,0.966785,0.891645,{"1":5551,"2":4465},0.492167,0.481723,0.026110,0.000000,0.492167,0.399478,0.786632
0.007812893,3,5,snapshot,16384,682,0.838710,0.957544,0.838710,{"1":4502,"2":3690},0.479472,0.501466,0.019062,0.000000,0.479472,0.359238,0.690141
0.009936793,3,6,read_only,64,1780,1.000000,1.000000,1.000000,{"1":1628,"2":149,"3":3},0.914607,0.083708,0.001685,0.000000,0.914607,0.085393,1.000000
0.009936793,3,6,union,64,1780,1.000000,1.000000,1.000000,{"1":1628,"2":149,"3":3},0.914607,0.083708,0.001685,0.000000,0.914607,0.085393,1.000000
0.009936793,3,6,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":5010,"2":3179,"3":3},0.611572,0.388062,0.000366,0.000000,0.611572,0.388428,1.000000
0.009936793,3,6,read_only,256,1780,1.000000,1.000000,1.000000,{"1":1628,"2":149,"3":3},0.914607,0.083708,0.001685,0.000000,0.914607,0.085393,1.000000
0.009936793,3,6,union,256,1780,1.000000,1.000000,1.000000,{"1":1628,"2":149,"3":3},0.914607,0.083708,0.001685,0.000000,0.914607,0.085393,1.000000
0.009936793,3,6,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":5010,"2":3179,"3":3},0.611572,0.388062,0.000366,0.000000,0.611572,0.388428,1.000000
