gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
5,read_only,64,6,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.915527,0.084449,0.000024,0.000000,0.915527,0.084473,1.000000
5,read_only,256,6,0.999574,0.999848,0.999574,0.997491,1.000000,1,0.915357,0.084540,0.000103,0.000000,0.915357,0.084217,0.497530
5,read_only,1024,6,0.997991,0.999486,0.997991,0.988127,1.000000,1,0.914500,0.085060,0.000440,0.000000,0.914500,0.083490,0.488423
5,read_only,4096,6,0.992101,0.998121,0.992101,0.953333,1.000000,1,0.911360,0.086911,0.001728,0.000000,0.911360,0.080741,0.456067
5,read_only,16384,6,0.929179,0.973598,0.929179,0.720000,1.000000,1,0.869179,0.117043,0.013778,0.000000,0.869179,0.060000,0.140625
5,snapshot,64,7,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.977603,0.022287,0.000035,0.000000,0.977603,0.022321,1.000000
5,snapshot,256,7,0.999017,0.999596,0.999017,0.996578,1.000000,1,0.965589,0.034289,0.000122,0.000000,0.965289,0.033728,0.246429
5,snapshot,1024,7,0.995771,0.999365,0.995771,0.983264,1.000000,1,0.952260,0.047341,0.000398,0.000000,0.951141,0.044630,0.237288
5,snapshot,4096,7,0.985782,0.998824,0.985782,0.944444,1.000000,1,0.940171,0.058695,0.001134,0.000000,0.936463,0.049320,0.215347
5,snapshot,16384,7,0.949234,0.991932,0.949234,0.870229,0.985294,1,0.905348,0.091380,0.003272,0.000000,0.892528,0.056707,0.125604
5,union,64,6,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.915527,0.084449,0.000024,0.000000,0.915527,0.084473,1.000000
5,union,256,6,0.999574,0.999848,0.999574,0.997491,1.000000,1,0.915357,0.084540,0.000103,0.000000,0.915357,0.084217,0.497530
5,union,1024,6,0.997991,0.999486,0.997991,0.988127,1.000000,1,0.914500,0.085060,0.000440,0.000000,0.914500,0.083490,0.488423
5,union,4096,6,0.992101,0.998121,0.992101,0.953333,1.000000,1,0.911360,0.086911,0.001728,0.000000,0.911360,0.080741,0.456067
5,union,16384,6,0.929179,0.973598,0.929179,0.720000,1.000000,1,0.869179,0.117043,0.013778,0.000000,0.869179,0.060000,0.140625
