sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.010604123,5,0,read_only,64,314302,1.000000,1.000000,1.000000,{"1":314301,"2":1},0.999997,0.000003,0.000000,0.000000,0.999997,0.000003,1.000000
0.010604123,5,0,union,64,314302,1.000000,1.000000,1.000000,{"1":314301,"2":1},0.999997,0.000003,0.000000,0.000000,0.999997,0.000003,1.000000
0.010604123,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.010604123,5,0,read_only,256,78658,0.999987,0.999997,0.999987,{"1":314301,"2":1},0.999987,0.000013,0.000000,0.000000,0.999987,0.000000,0.000000
0.010604123,5,0,union,256,78658,0.999987,0.999997,0.999987,{"1":314301,"2":1},0.999987,0.000013,0.000000,0.000000,0.999987,0.000000,0.000000
0.010604123,5,0,snapshot,256,2621,0.999618,0.999905,0.999618,{"1":8191,"2":1},0.999618,0.000382,0.000000,0.000000,0.999618,0.000000,0.000000
0.010604123,5,0,read_only,1024,19682,0.999949,0.999997,0.999949,{"1":314301,"2":1},0.999949,0.000051,0.000000,0.000000,0.999949,0.000000,0.000000
0.010604123,5,0,union,1024,19682,0.999949,0.999997,0.999949,{"1":314301,"2":1},0.999949,0.000051,0.000000,0.000000,0.999949,0.000000,0.000000
0.010604123,5,0,snapshot,1024,934,0.998929,0.999933,0.998929,{"1":8191,"2":1},0.998929,0.001071,0.000000,0.000000,0.998929,0.000000,0.000000
0.010604123,5,0,read_only,4096,4931,0.999797,0.999997,0.999797,{"1":314301,"2":1},0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
0.010604123,5,0,union,4096,4931,0.999797,0.999997,0.999797,{"1":314301,"2":1},0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
0.010604123,5,0,snapshot,4096,361,0.997230,0.999957,0.997230,{"1":8191,"2":1},0.997230,0.002770,0.000000,0.000000,0.997230,0.000000,0.000000
0.010604123,5,0,read_only,16384,1236,0.996764,0.999453,0.996764,{"1":314301,"2":1},0.996764,0.003236,0.000000,0.000000,0.996764,0.000000,0.000000
0.010604123,5,0,union,16384,1236,0.996764,0.999453,0.996764,{"1":314301,"2":1},0.996764,0.003236,0.000000,0.000000,0.996764,0.000000,0.000000
0.010604123,5,0,snapshot,16384,124,0.991935,0.999968,0.991935,{"1":8191,"2":1},0.991935,0.008065,0.000000,0.000000,0.991935,0.000000,0.000000
