sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.006819813,5,0,read_only,64,96013,1.000000,1.000000,1.000000,{"1":96012,"2":1},0.999990,0.000010,0.000000,0.000000,0.999990,0.000010,1.000000
0.006819813,5,0,union,64,96013,1.000000,1.000000,1.000000,{"1":96012,"2":1},0.999990,0.000010,0.000000,0.000000,0.999990,0.000010,1.000000
0.006819813,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.006819813,5,0,read_only,256,96013,1.000000,1.000000,1.000000,{"1":96012,"2":1},0.999990,0.000010,0.000000,0.000000,0.999990,0.000010,1.000000
0.006819813,5,0,union,256,96013,1.000000,1.000000,1.000000,{"1":96012,"2":1},0.999990,0.000010,0.000000,0.000000,0.999990,0.000010,1.000000
0.006819813,5,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.006819813,5,0,read_only,1024,24032,0.999958,0.999990,0.999958,{"1":96012,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000000,0.000000
0.006819813,5,0,union,1024,24032,0.999958,0.999990,0.999958,{"1":96012,"2":1},0.999958,0.000042,0.000000,0.000000,0.999958,0.000000,0.000000
0.006819813,5,0,snapshot,1024,2478,0.999596,0.999899,0.999596,{"1":8191,"2":1},0.999596,0.000404,0.000000,0.000000,0.999596,0.000000,0.000000
0.006819813,5,0,read_only,4096,6019,0.999834,0.999990,0.999834,{"1":96012,"2":1},0.999834,0.000166,0.000000,0.000000,0.999834,0.000000,0.000000
0.006819813,5,0,union,4096,6019,0.999834,0.999990,0.999834,{"1":96012,"2":1},0.999834,0.000166,0.000000,0.000000,0.999834,0.000000,0.000000
0.006819813,5,0,snapshot,4096,799,0.998748,0.999922,0.998748,{"1":8191,"2":1},0.998748,0.001252,0.000000,0.000000,0.998748,0.000000,0.000000
0.006819813,5,0,read_only,16384,1508,0.998011,0.999658,0.998011,{"1":96012,"2":1},0.998011,0.001989,0.000000,0.000000,0.998011,0.000000,0.000000
0.006819813,5,0,union,16384,1508,0.998011,0.999658,0.998011,{"1":96012,"2":1},0.998011,0.001989,0.000000,0.000000,0.998011,0.000000,0.000000
0.006819813,5,0,snapshot,16384,240,0.995833,0.999935,0.995833,{"1":8191,"2":1},0.995833,0.004167,0.000000,0.000000,0.995833,0.000000,0.000000
