sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.008717640,4,0,read_only,64,272640,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,union,64,272640,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,read_only,256,68558,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,union,256,68558,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,snapshot,256,2553,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,read_only,1024,17183,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,union,1024,17183,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,snapshot,1024,774,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,read_only,4096,4360,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,union,4096,4360,1.000000,1.000000,1.000000,{"1":272640},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,snapshot,4096,292,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008717640,4,0,read_only,16384,1101,0.999092,0.999773,0.999092,{"1":272640},0.999092,0.000908,0.000000,0.000000,0.999092,0.000000,0.000000
0.008717640,4,0,union,16384,1101,0.999092,0.999773,0.999092,{"1":272640},0.999092,0.000908,0.000000,0.000000,0.999092,0.000000,0.000000
0.008717640,4,0,snapshot,16384,89,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
