sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.000450085,3,0,read_only,64,16413,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999939,0.000061,0.000000,0.000000,0.999939,0.000061,1.000000
0.000450085,3,0,union,64,16413,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999939,0.000061,0.000000,0.000000,0.999939,0.000061,1.000000
0.000450085,3,0,snapshot,64,16414,1.000000,1.000000,1.000000,{"0":1,"1":16412,"2":1},0.999878,0.000061,0.000000,0.000000,0.999878,0.000061,1.000000
0.000450085,3,0,read_only,256,4294,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999767,0.000233,0.000000,0.000000,0.999767,0.000233,1.000000
0.000450085,3,0,union,256,4294,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999767,0.000233,0.000000,0.000000,0.999767,0.000233,1.000000
0.000450085,3,0,snapshot,256,4295,1.000000,1.000000,1.000000,{"0":1,"1":16412,"2":1},0.999534,0.000233,0.000000,0.000000,0.999534,0.000233,1.000000
0.000450085,3,0,read_only,1024,1136,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999120,0.000880,0.000000,0.000000,0.999120,0.000880,1.000000
0.000450085,3,0,union,1024,1136,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.999120,0.000880,0.000000,0.000000,0.999120,0.000880,1.000000
0.000450085,3,0,snapshot,1024,1137,1.000000,1.000000,1.000000,{"0":1,"1":16412,"2":1},0.998241,0.000880,0.000000,0.000000,0.998241,0.000880,1.000000
0.000450085,3,0,read_only,4096,299,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.996656,0.003344,0.000000,0.000000,0.996656,0.003344,1.000000
0.000450085,3,0,union,4096,299,1.000000,1.000000,1.000000,{"1":16412,"2":1},0.996656,0.003344,0.000000,0.000000,0.996656,0.003344,1.000000
0.000450085,3,0,snapshot,4096,299,0.996656,0.999721,0.996656,{"0":1,"1":16412,"2":1},0.996656,0.003344,0.000000,0.000000,0.993311,0.003344,1.000000
0.000450085,3,0,read_only,16384,80,0.987500,0.999808,0.987500,{"1":16412,"2":1},0.987500,0.000000,0.012500,0.000000,0.987500,0.000000,0.000000
0.000450085,3,0,union,16384,80,0.987500,0.999808,0.987500,{"1":16412,"2":1},0.987500,0.000000,0.012500,0.000000,0.987500,0.000000,0.000000
0.000450085,3,0,snapshot,16384,80,0.975000,0.999675,0.975000,{"0":1,"1":16412,"2":1},0.987500,0.000000,0.012500,0.000000,0.975000,0.000000,0.000000
