sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.003985073,2,0,read_only,64,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,union,64,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,read_only,256,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,union,256,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,read_only,1024,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,union,1024,11227,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,read_only,4096,2816,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,union,4096,2816,1.000000,1.000000,1.000000,{"1":11227},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,snapshot,4096,2079,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.003985073,2,0,read_only,16384,710,0.998592,0.999648,0.998592,{"1":11227},0.998592,0.001408,0.000000,0.000000,0.998592,0.000000,0.000000
0.003985073,2,0,union,16384,710,0.998592,0.999648,0.998592,{"1":11227},0.998592,0.001408,0.000000,0.000000,0.998592,0.000000,0.000000
0.003985073,2,0,snapshot,16384,536,0.998134,0.999378,0.998134,{"1":8192},0.998134,0.001866,0.000000,0.000000,0.998134,0.000000,0.000000
