sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004187290,3,0,read_only,64,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,union,64,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004187290,3,0,read_only,256,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,union,256,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004187290,3,0,read_only,1024,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,union,1024,13255,1.000000,1.000000,1.000000,{"1":13254,"2":1},0.999925,0.000075,0.000000,0.000000,0.999925,0.000075,1.000000
0.004187290,3,0,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.004187290,3,0,read_only,4096,3316,0.999397,0.999698,0.999397,{"1":13254,"2":1},0.999397,0.000603,0.000000,0.000000,0.999397,0.000000,0.000000
0.004187290,3,0,union,4096,3316,0.999397,0.999698,0.999397,{"1":13254,"2":1},0.999397,0.000603,0.000000,0.000000,0.999397,0.000000,0.000000
0.004187290,3,0,snapshot,4096,2078,0.999519,0.999759,0.999519,{"1":8191,"2":1},0.999519,0.000481,0.000000,0.000000,0.999519,0.000000,0.000000
0.004187290,3,0,read_only,16384,832,0.995192,0.998768,0.995192,{"1":13254,"2":1},0.995192,0.004808,0.000000,0.000000,0.995192,0.000000,0.000000
0.004187290,3,0,union,16384,832,0.995192,0.998768,0.995192,{"1":13254,"2":1},0.995192,0.004808,0.000000,0.000000,0.995192,0.000000,0.000000
0.004187290,3,0,snapshot,16384,537,0.998138,0.999069,0.998138,{"1":8191,"2":1},0.998138,0.001862,0.000000,0.000000,0.998138,0.000000,0.000000
