sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.004011206,4,0,read_only,64,39278,1.000000,1.000000,1.000000,{"1":39276,"2":2},0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
0.004011206,4,0,union,64,39278,1.000000,1.000000,1.000000,{"1":39276,"2":2},0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
0.004011206,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8190,"2":2},0.999756,0.000244,0.000000,0.000000,0.999756,0.000244,1.000000
0.004011206,4,0,read_only,256,39278,1.000000,1.000000,1.000000,{"1":39276,"2":2},0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
0.004011206,4,0,union,256,39278,1.000000,1.000000,1.000000,{"1":39276,"2":2},0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
0.004011206,4,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8190,"2":2},0.999756,0.000244,0.000000,0.000000,0.999756,0.000244,1.000000
0.004011206,4,0,read_only,1024,9829,0.999797,0.999898,0.999797,{"1":39276,"2":2},0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
0.004011206,4,0,union,1024,9829,0.999797,0.999898,0.999797,{"1":39276,"2":2},0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
0.004011206,4,0,snapshot,1024,2100,0.999048,0.999524,0.999048,{"1":8190,"2":2},0.999048,0.000952,0.000000,0.000000,0.999048,0.000000,0.000000
0.004011206,4,0,read_only,4096,2459,0.999187,0.999771,0.999187,{"1":39276,"2":2},0.999187,0.000813,0.000000,0.000000,0.999187,0.000000,0.000000
0.004011206,4,0,union,4096,2459,0.999187,0.999771,0.999187,{"1":39276,"2":2},0.999187,0.000813,0.000000,0.000000,0.999187,0.000000,0.000000
0.004011206,4,0,snapshot,4096,542,0.996310,0.999561,0.996310,{"1":8190,"2":2},0.996310,0.003690,0.000000,0.000000,0.996310,0.000000,0.000000
0.004011206,4,0,read_only,16384,619,0.995153,0.998915,0.995153,{"1":39276,"2":2},0.995153,0.004847,0.000000,0.000000,0.995153,0.000000,0.000000
0.004011206,4,0,union,16384,619,0.995153,0.998915,0.995153,{"1":39276,"2":2},0.995153,0.004847,0.000000,0.000000,0.995153,0.000000,0.000000
0.004011206,4,0,snapshot,16384,144,0.986111,0.998692,0.986111,{"1":8190,"2":2},0.986111,0.013889,0.000000,0.000000,0.986111,0.000000,0.000000
