gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
4,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
4,read_only,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
4,read_only,1024,1,0.999797,0.999898,0.999797,0.999797,0.999797,1,0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
4,read_only,4096,1,0.999187,0.999771,0.999187,0.999187,0.999187,1,0.999187,0.000813,0.000000,0.000000,0.999187,0.000000,0.000000
4,read_only,16384,1,0.995153,0.998915,0.995153,0.995153,0.995153,1,0.995153,0.004847,0.000000,0.000000,0.995153,0.000000,0.000000
4,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999756,0.000244,0.000000,0.000000,0.999756,0.000244,1.000000
4,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999756,0.000244,0.000000,0.000000,0.999756,0.000244,1.000000
4,snapshot,1024,1,0.999048,0.999524,0.999048,0.999048,0.999048,1,0.999048,0.000952,0.000000,0.000000,0.999048,0.000000,0.000000
4,snapshot,4096,1,0.996310,0.999561,0.996310,0.996310,0.996310,1,0.996310,0.003690,0.000000,0.000000,0.996310,0.000000,0.000000
4,snapshot,16384,1,0.986111,0.998692,0.986111,0.986111,0.986111,1,0.986111,0.013889,0.000000,0.000000,0.986111,0.000000,0.000000
4,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
4,union,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999949,0.000051,0.000000,0.000000,0.999949,0.000051,1.000000
4,union,1024,1,0.999797,0.999898,0.999797,0.999797,0.999797,1,0.999797,0.000203,0.000000,0.000000,0.999797,0.000000,0.000000
4,union,4096,1,0.999187,0.999771,0.999187,0.999187,0.999187,1,0.999187,0.000813,0.000000,0.000000,0.999187,0.000000,0.000000
4,union,16384,1,0.995153,0.998915,0.995153,0.995153,0.995153,1,0.995153,0.004847,0.000000,0.000000,0.995153,0.000000,0.000000
