gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.827045,0.172955,0.000000,0.000000,0.827045,0.172955,1.000000
3,read_only,256,1,0.983955,0.994776,0.983955,0.983955,0.983955,1,0.815303,0.184697,0.000000,0.000000,0.815303,0.168652,0.913128
3,read_only,1024,1,0.969849,0.993375,0.969849,0.969849,0.969849,1,0.804977,0.195023,0.000000,0.000000,0.804977,0.164872,0.845399
3,read_only,4096,1,0.951382,0.991703,0.951382,0.951382,0.951382,1,0.794090,0.205910,0.000000,0.000000,0.794090,0.157293,0.763889
3,read_only,16384,1,0.925094,0.987983,0.925094,0.925094,0.925094,1,0.779026,0.217228,0.003745,0.000000,0.779026,0.146067,0.661017
3,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.771606,0.228394,0.000000,0.000000,0.771606,0.228394,1.000000
3,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.776099,0.223901,0.000000,0.000000,0.776099,0.223901,1.000000
3,snapshot,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.791246,0.208754,0.000000,0.000000,0.791246,0.208754,1.000000
3,snapshot,4096,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.797546,0.202454,0.000000,0.000000,0.797546,0.202454,1.000000
3,snapshot,16384,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.800000,0.200000,0.000000,0.000000,0.800000,0.200000,1.000000
3,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.827045,0.172955,0.000000,0.000000,0.827045,0.172955,1.000000
3,union,256,1,0.983955,0.994776,0.983955,0.983955,0.983955,1,0.815303,0.184697,0.000000,0.000000,0.815303,0.168652,0.913128
3,union,1024,1,0.969849,0.993375,0.969849,0.969849,0.969849,1,0.804977,0.195023,0.000000,0.000000,0.804977,0.164872,0.845399
3,union,4096,1,0.951382,0.991703,0.951382,0.951382,0.951382,1,0.794090,0.205910,0.000000,0.000000,0.794090,0.157293,0.763889
3,union,16384,1,0.925094,0.987983,0.925094,0.925094,0.925094,1,0.779026,0.217228,0.003745,0.000000,0.779026,0.146067,0.661017
