sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.006551103,5,16,277,0,0
0.007002498,5,17,634,0,0
0.007377796,5,18,19,0,0
0.007615106,5,19,4,0,0
0.007852337,5,20,3,0,0
0.008092874,5,21,1,0,0
0.008827873,5,24,4,1,0
0.010148627,5,28,2,0,0
0.011322168,5,33,1,1,0
0.025668246,5,86,149,0,0
0.031036387,5,94,222,156,0
0.031945245,5,95,523,85,0
0.036408263,5,104,14,6,0
0.047657854,5,106,1,0,0
0.048477577,5,108,9,7,0
0.051201853,5,119,25,15,0
0.051450604,5,120,5,4,0
0.051703554,5,121,17,8,0
0.051952771,5,122,17,13,0
0.052185726,5,123,23,16,0
0.052421299,5,124,6,2,0
0.052656072,5,125,2,2,0
0.052890687,5,126,4,2,0
0.054082650,5,131,7,6,0
0.054352241,5,132,80,68,0
0.054871324,5,133,72,60,0
0.055694711,5,135,5,4,0
0.056145544,5,136,307,135,0
0.057148982,5,137,960,445,0
0.057489186,5,138,4,2,0
0.058820477,5,143,15,10,0
0.059290959,5,145,1,1,0
0.059656770,5,146,23,17,0
0.060233335,5,147,178,116,0
0.060776449,5,148,165,102,0
0.061043453,5,149,1,1,0
0.061281732,5,150,9,6,0
0.061523132,5,151,17,9,0
0.061788285,5,152,38,20,0
0.062023578,5,153,6,4,0
0.062257432,5,154,5,3,0
0.062497550,5,155,21,13,0
0.062732691,5,156,5,3,0
0.062968679,5,157,1,0,0
0.063811824,5,159,16,6,0
0.064515612,5,162,4,3,0
0.064748841,5,163,2,0,0
0.064983737,5,164,1,1,0
0.065218780,5,165,4,2,0
0.065452296,5,166,1,1,0
0.065780482,5,167,1,0,0
0.079678848,5,218,3,1,0
0.083247764,5,220,16,8,0
0.084929549,5,225,1,0,0
0.085853410,5,226,9,8,0
