gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,168,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.983829,0.016171,0.000000,0.000000,0.983829,0.016171,1.000000
3,read_only,256,168,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.983829,0.016171,0.000000,0.000000,0.983829,0.016171,1.000000
3,read_only,1024,168,0.995460,0.998233,0.995460,0.745098,1.000000,1,0.980156,0.019557,0.000287,0.000000,0.980156,0.015304,0.367721
3,read_only,4096,168,0.988035,0.996229,0.988035,0.714286,1.000000,1,0.971513,0.024541,0.003945,0.000000,0.971513,0.016522,0.261766
3,read_only,16384,168,0.923302,0.976334,0.923302,0.000000,1.000000,1,0.909508,0.074582,0.015910,0.000000,0.909508,0.013793,0.079133
3,snapshot,64,238,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.984923,0.015060,0.000000,0.000000,0.984923,0.015060,1.000000
3,snapshot,256,238,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.984923,0.015060,0.000000,0.000000,0.984923,0.015060,1.000000
3,snapshot,1024,238,0.977899,0.991669,0.977899,0.888589,1.000000,1,0.966713,0.032671,0.000608,0.000000,0.966666,0.011225,0.132979
3,snapshot,4096,238,0.945062,0.982261,0.945062,0.755337,1.000000,1,0.937601,0.047667,0.014721,0.000000,0.937441,0.007609,0.052339
3,snapshot,16384,238,0.808518,0.940072,0.808518,0.285714,1.000000,1,0.807171,0.127494,0.065335,0.000000,0.806755,0.001763,0.007999
3,union,64,183,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.988089,0.011911,0.000000,0.000000,0.988089,0.011911,1.000000
3,union,256,183,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.988089,0.011911,0.000000,0.000000,0.988089,0.011911,1.000000
3,union,1024,183,0.995701,0.998333,0.995701,0.745098,1.000000,1,0.983999,0.015746,0.000255,0.000000,0.983999,0.011702,0.322310
3,union,4096,183,0.989037,0.996550,0.989037,0.714286,1.000000,1,0.977623,0.018880,0.003497,0.000000,0.977623,0.011414,0.243615
3,union,16384,183,0.932321,0.979070,0.932321,0.000000,1.000000,1,0.923553,0.062312,0.014136,0.000000,0.923553,0.008769,0.074124
