gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,168,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.986968,0.013032,0.000000,0.000000,0.986968,0.013032,1.000000
3,read_only,256,168,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.986968,0.013032,0.000000,0.000000,0.986968,0.013032,1.000000
3,read_only,1024,168,0.995381,0.998203,0.995381,0.745098,1.000000,1,0.982282,0.017404,0.000313,0.000000,0.982282,0.013099,0.242121
3,read_only,4096,168,0.988382,0.996348,0.988382,0.714286,1.000000,1,0.975328,0.020751,0.003922,0.000000,0.975328,0.013054,0.174975
3,read_only,16384,168,0.918491,0.971865,0.918491,0.000000,1.000000,1,0.909239,0.074177,0.016584,0.000000,0.909239,0.009252,0.033986
3,snapshot,64,238,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.985043,0.014942,0.000000,0.000000,0.985043,0.014942,1.000000
3,snapshot,256,238,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.985043,0.014942,0.000000,0.000000,0.985043,0.014942,1.000000
3,snapshot,1024,238,0.978100,0.991804,0.978100,0.890756,1.000000,1,0.966856,0.032386,0.000741,0.000000,0.966825,0.011258,0.151875
3,snapshot,4096,238,0.945925,0.982346,0.945925,0.753333,1.000000,1,0.938284,0.046738,0.014942,0.000000,0.938167,0.007724,0.065553
3,snapshot,16384,238,0.807433,0.939355,0.807433,0.285714,1.000000,1,0.805446,0.130034,0.064485,0.000000,0.805089,0.002309,0.016674
3,union,64,182,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.988295,0.011705,0.000000,0.000000,0.988295,0.011705,1.000000
3,union,256,182,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.988295,0.011705,0.000000,0.000000,0.988295,0.011705,1.000000
3,union,1024,182,0.995625,0.998307,0.995625,0.745098,1.000000,1,0.984125,0.015601,0.000274,0.000000,0.984125,0.011500,0.213643
3,union,4096,182,0.989162,0.996604,0.989162,0.714286,1.000000,1,0.978116,0.018394,0.003490,0.000000,0.978116,0.011046,0.150564
3,union,16384,182,0.926867,0.974889,0.926867,0.000000,1.000000,1,0.919083,0.066128,0.014789,0.000000,0.919083,0.007784,0.029473
