sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.002987664,5,0,read_only,64,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,union,64,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,snapshot,64,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,read_only,256,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,union,256,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,snapshot,256,7770,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.380180,0.000000,0.619820,0.000000,0.380180,0.619820,1.000000
0.002987664,5,0,read_only,1024,3963,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.392380,0.000000,0.607620,0.000000,0.392380,0.607620,1.000000
0.002987664,5,0,union,1024,3963,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.392380,0.000000,0.607620,0.000000,0.392380,0.607620,1.000000
0.002987664,5,0,snapshot,1024,3963,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.392380,0.000000,0.607620,0.000000,0.392380,0.607620,1.000000
0.002987664,5,0,read_only,4096,1016,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.407480,0.000000,0.592520,0.000000,0.407480,0.592520,1.000000
0.002987664,5,0,union,4096,1016,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.407480,0.000000,0.592520,0.000000,0.407480,0.592520,1.000000
0.002987664,5,0,snapshot,4096,1016,1.000000,1.000000,1.000000,{"1":2954,"3":4816},0.407480,0.000000,0.592520,0.000000,0.407480,0.592520,1.000000
0.002987664,5,0,read_only,16384,254,0.996063,0.998095,0.996063,{"1":2954,"3":4816},0.405512,0.000000,0.594488,0.000000,0.405512,0.590551,0.993377
0.002987664,5,0,union,16384,254,0.996063,0.998095,0.996063,{"1":2954,"3":4816},0.405512,0.000000,0.594488,0.000000,0.405512,0.590551,0.993377
0.002987664,5,0,snapshot,16384,254,0.996063,0.998095,0.996063,{"1":2954,"3":4816},0.405512,0.000000,0.594488,0.000000,0.405512,0.590551,0.993377
