sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.016893936,3,0,read_only,64,52416,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,union,64,52416,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"3":8192},0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.016893936,3,0,read_only,256,13104,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,union,256,13104,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,snapshot,256,4115,1.000000,1.000000,1.000000,{"3":8192},0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.016893936,3,0,read_only,1024,3276,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,union,1024,3276,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,snapshot,1024,1600,1.000000,1.000000,1.000000,{"3":8192},0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.016893936,3,0,read_only,4096,819,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,union,4096,819,1.000000,1.000000,1.000000,{"1":13056,"3":39360},0.249084,0.000000,0.750916,0.000000,0.249084,0.750916,1.000000
0.016893936,3,0,snapshot,4096,541,1.000000,1.000000,1.000000,{"3":8192},0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000
0.016893936,3,0,read_only,16384,206,0.995146,0.998786,0.995146,{"1":13056,"3":39360},0.252427,0.000000,0.747573,0.000000,0.252427,0.742718,0.993506
0.016893936,3,0,union,16384,206,0.995146,0.998786,0.995146,{"1":13056,"3":39360},0.252427,0.000000,0.747573,0.000000,0.252427,0.742718,0.993506
0.016893936,3,0,snapshot,16384,144,1.000000,1.000000,1.000000,{"3":8192},0.000000,0.000000,1.000000,0.000000,0.000000,1.000000,1.000000
