gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
5,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.168816,0.018755,0.812429,0.000000,0.168816,0.831184,1.000000
5,read_only,256,1,0.944268,0.982593,0.944268,0.944268,0.944268,1,0.191817,0.000212,0.807972,0.000000,0.191817,0.752451,0.931041
5,read_only,1024,1,0.857621,0.981958,0.857621,0.857621,0.857621,1,0.200447,0.000000,0.799553,0.000000,0.200447,0.657175,0.821927
5,read_only,4096,1,0.768116,0.981989,0.768116,0.768116,0.768116,1,0.201784,0.000000,0.798216,0.000000,0.201784,0.566332,0.709497
5,read_only,16384,1,0.669604,0.979987,0.669604,0.669604,0.669604,1,0.202643,0.000000,0.797357,0.000000,0.202643,0.466960,0.585635
5,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.799194,0.009399,0.191406,0.000000,0.799194,0.200806,1.000000
5,snapshot,256,1,0.984394,0.993625,0.984394,0.984394,0.984394,1,0.747858,0.005202,0.246940,0.000000,0.747858,0.236536,0.938107
5,snapshot,1024,1,0.947319,0.988949,0.947319,0.947319,0.947319,1,0.668862,0.001881,0.329257,0.000000,0.668862,0.278457,0.840909
5,snapshot,4096,1,0.906158,0.991719,0.906158,0.906158,0.906158,1,0.530792,0.005865,0.463343,0.000000,0.530792,0.375367,0.800000
5,snapshot,16384,1,0.861111,0.984379,0.861111,0.861111,0.861111,1,0.425926,0.009259,0.564815,0.000000,0.425926,0.435185,0.758065
5,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.168816,0.018755,0.812429,0.000000,0.168816,0.831184,1.000000
5,union,256,1,0.944268,0.982593,0.944268,0.944268,0.944268,1,0.191817,0.000212,0.807972,0.000000,0.191817,0.752451,0.931041
5,union,1024,1,0.857621,0.981958,0.857621,0.857621,0.857621,1,0.200447,0.000000,0.799553,0.000000,0.200447,0.657175,0.821927
5,union,4096,1,0.768116,0.981989,0.768116,0.768116,0.768116,1,0.201784,0.000000,0.798216,0.000000,0.201784,0.566332,0.709497
5,union,16384,1,0.669604,0.979987,0.669604,0.669604,0.669604,1,0.202643,0.000000,0.797357,0.000000,0.202643,0.466960,0.585635
