gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
5,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.880867,0.119133,0.000000,0.000000,0.880867,0.119133,1.000000
5,read_only,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.880867,0.119133,0.000000,0.000000,0.880867,0.119133,1.000000
5,read_only,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.880867,0.119133,0.000000,0.000000,0.880867,0.119133,1.000000
5,read_only,4096,1,0.500327,0.811571,0.500327,0.500327,0.500327,1,0.500327,0.499673,0.000000,0.000000,0.500327,0.000000,0.000000
5,read_only,16384,1,0.010449,0.349666,0.010449,0.010449,0.010449,0,0.010449,0.026646,0.962905,0.000000,0.010449,0.000000,0.000000
5,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.770508,0.229492,0.000000,0.000000,0.770508,0.229492,1.000000
5,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.770508,0.229492,0.000000,0.000000,0.770508,0.229492,1.000000
5,snapshot,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.770508,0.229492,0.000000,0.000000,0.770508,0.229492,1.000000
5,snapshot,4096,1,0.702178,0.856997,0.702178,0.702178,0.702178,1,0.606337,0.393663,0.000000,0.000000,0.606337,0.095842,0.243461
5,snapshot,16384,1,0.121279,0.473894,0.121279,0.121279,0.121279,0,0.092062,0.170342,0.737596,0.000000,0.092062,0.029217,0.032180
5,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.881251,0.118749,0.000000,0.000000,0.881251,0.118749,1.000000
5,union,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.881251,0.118749,0.000000,0.000000,0.881251,0.118749,1.000000
5,union,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.881251,0.118749,0.000000,0.000000,0.881251,0.118749,1.000000
5,union,4096,1,0.497843,0.810722,0.497843,0.497843,0.497843,1,0.497843,0.502157,0.000000,0.000000,0.497843,0.000000,0.000000
5,union,16384,1,0.010449,0.350112,0.010449,0.010449,0.010449,0,0.010449,0.026646,0.962905,0.000000,0.010449,0.000000,0.000000
