sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.007441059,5,0,read_only,64,87642,1.000000,1.000000,1.000000,{"1":86377,"2":1265},0.985566,0.014434,0.000000,0.000000,0.985566,0.014434,1.000000
0.007441059,5,0,union,64,87655,1.000000,1.000000,1.000000,{"1":86390,"2":1265},0.985568,0.014432,0.000000,0.000000,0.985568,0.014432,1.000000
0.007441059,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"0":2,"1":7900,"2":290},0.964355,0.035400,0.000000,0.000000,0.964355,0.035400,1.000000
0.007441059,5,0,read_only,256,87642,1.000000,1.000000,1.000000,{"1":86377,"2":1265},0.985566,0.014434,0.000000,0.000000,0.985566,0.014434,1.000000
0.007441059,5,0,union,256,87655,1.000000,1.000000,1.000000,{"1":86390,"2":1265},0.985568,0.014432,0.000000,0.000000,0.985568,0.014432,1.000000
0.007441059,5,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"0":2,"1":7900,"2":290},0.964355,0.035400,0.000000,0.000000,0.964355,0.035400,1.000000
0.007441059,5,0,read_only,1024,24695,0.885888,0.958257,0.885888,{"1":86377,"2":1265},0.885847,0.114153,0.000000,0.000000,0.885847,0.000040,0.000355
0.007441059,5,0,union,1024,24695,0.885807,0.958214,0.885807,{"1":86390,"2":1265},0.885766,0.114234,0.000000,0.000000,0.885766,0.000040,0.000354
0.007441059,5,0,snapshot,1024,5391,0.969950,0.986150,0.969950,{"0":2,"1":7900,"2":290},0.946207,0.053793,0.000000,0.000000,0.945836,0.024114,0.448276
0.007441059,5,0,read_only,4096,7609,0.516099,0.868286,0.516099,{"1":86377,"2":1265},0.516099,0.483901,0.000000,0.000000,0.516099,0.000000,0.000000
0.007441059,5,0,union,4096,7609,0.516099,0.868277,0.516099,{"1":86390,"2":1265},0.516099,0.483901,0.000000,0.000000,0.516099,0.000000,0.000000
0.007441059,5,0,snapshot,4096,3972,0.890483,0.956015,0.890483,{"0":2,"1":7900,"2":290},0.884441,0.115559,0.000000,0.000000,0.883938,0.006546,0.056645
0.007441059,5,0,read_only,16384,1919,0.007817,0.381899,0.007817,{"1":86377,"2":1265},0.007817,0.031787,0.960396,0.000000,0.007817,0.000000,0.000000
0.007441059,5,0,union,16384,1919,0.007817,0.381932,0.007817,{"1":86390,"2":1265},0.007817,0.031787,0.960396,0.000000,0.007817,0.000000,0.000000
0.007441059,5,0,snapshot,16384,1715,0.243732,0.647265,0.243732,{"0":2,"1":7900,"2":290},0.238484,0.332362,0.429155,0.000000,0.237901,0.005831,0.007657
