gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
2,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.980638,0.019362,0.000000,0.000000,0.980638,0.019362,1.000000
2,read_only,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.980638,0.019362,0.000000,0.000000,0.980638,0.019362,1.000000
2,read_only,1024,1,0.865178,0.951932,0.865178,0.865178,0.865178,1,0.865178,0.134822,0.000000,0.000000,0.865178,0.000000,0.000000
2,read_only,4096,1,0.514439,0.866618,0.514439,0.514439,0.514439,1,0.514439,0.485561,0.000000,0.000000,0.514439,0.000000,0.000000
2,read_only,16384,1,0.015680,0.382956,0.015680,0.015680,0.015680,0,0.015680,0.017704,0.966616,0.000000,0.015680,0.000000,0.000000
2,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.921265,0.078735,0.000000,0.000000,0.921265,0.078735,1.000000
2,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.921265,0.078735,0.000000,0.000000,0.921265,0.078735,1.000000
2,snapshot,1024,1,0.911489,0.962642,0.911489,0.911489,0.911489,1,0.862766,0.137234,0.000000,0.000000,0.862766,0.048723,0.355039
2,snapshot,4096,1,0.756739,0.922299,0.756739,0.756739,0.756739,1,0.740631,0.259369,0.000000,0.000000,0.740631,0.016108,0.062104
2,snapshot,16384,1,0.298597,0.697247,0.298597,0.298597,0.298597,0,0.289245,0.417502,0.293253,0.000000,0.289245,0.009352,0.013158
2,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.980640,0.019360,0.000000,0.000000,0.980640,0.019360,1.000000
2,union,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.980640,0.019360,0.000000,0.000000,0.980640,0.019360,1.000000
2,union,1024,1,0.865178,0.951912,0.865178,0.865178,0.865178,1,0.865178,0.134822,0.000000,0.000000,0.865178,0.000000,0.000000
2,union,4096,1,0.514439,0.866598,0.514439,0.514439,0.514439,1,0.514439,0.485561,0.000000,0.000000,0.514439,0.000000,0.000000
2,union,16384,1,0.015680,0.382952,0.015680,0.015680,0.015680,0,0.015680,0.017704,0.966616,0.000000,0.015680,0.000000,0.000000
