sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.003985672,3,0,read_only,64,171390,1.000000,1.000000,1.000000,{"1":168686,"2":2704},0.984223,0.015777,0.000000,0.000000,0.984223,0.015777,1.000000
0.003985672,3,0,union,64,171445,1.000000,1.000000,1.000000,{"1":168738,"2":2707},0.984211,0.015789,0.000000,0.000000,0.984211,0.015789,1.000000
0.003985672,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"0":1,"1":7948,"2":243},0.970215,0.029663,0.000000,0.000000,0.970215,0.029663,1.000000
0.003985672,3,0,read_only,256,47085,0.945397,0.979875,0.945397,{"1":168686,"2":2704},0.942657,0.057343,0.000000,0.000000,0.942657,0.002740,0.047778
0.003985672,3,0,union,256,47086,0.945016,0.979766,0.945016,{"1":168738,"2":2707},0.942446,0.057554,0.000000,0.000000,0.942446,0.002570,0.044649
0.003985672,3,0,snapshot,256,5681,0.989967,0.995335,0.989967,{"0":1,"1":7948,"2":243},0.960042,0.039782,0.000000,0.000000,0.960042,0.029748,0.747788
0.003985672,3,0,read_only,1024,13045,0.794174,0.941249,0.794174,{"1":168686,"2":2704},0.794174,0.205826,0.000000,0.000000,0.794174,0.000000,0.000000
0.003985672,3,0,union,1024,13045,0.793944,0.941139,0.793944,{"1":168738,"2":2707},0.793944,0.206056,0.000000,0.000000,0.793944,0.000000,0.000000
0.003985672,3,0,snapshot,1024,2835,0.931570,0.976158,0.931570,{"0":1,"1":7948,"2":243},0.915697,0.084303,0.000000,0.000000,0.915344,0.016226,0.192469
0.003985672,3,0,read_only,4096,3971,0.320574,0.788971,0.320574,{"1":168686,"2":2704},0.320574,0.557039,0.122387,0.000000,0.320574,0.000000,0.000000
0.003985672,3,0,union,4096,3971,0.320322,0.788927,0.320322,{"1":168738,"2":2707},0.320322,0.557290,0.122387,0.000000,0.320322,0.000000,0.000000
0.003985672,3,0,snapshot,4096,1394,0.663558,0.893631,0.663558,{"0":1,"1":7948,"2":243},0.658537,0.318508,0.022956,0.000000,0.657819,0.005739,0.016807
0.003985672,3,0,read_only,16384,994,0.002012,0.454477,0.002012,{"1":168686,"2":2704},0.002012,0.021127,0.976861,0.000000,0.002012,0.000000,0.000000
0.003985672,3,0,union,16384,994,0.002012,0.454438,0.002012,{"1":168738,"2":2707},0.002012,0.020121,0.977867,0.000000,0.002012,0.000000,0.000000
0.003985672,3,0,snapshot,16384,496,0.110887,0.628468,0.110887,{"0":1,"1":7948,"2":243},0.106855,0.320565,0.572581,0.000000,0.106855,0.004032,0.004515
