gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
4,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.985871,0.014129,0.000000,0.000000,0.985871,0.014129,1.000000
4,read_only,256,1,0.945004,0.979935,0.945004,0.945004,0.945004,1,0.942385,0.057615,0.000000,0.000000,0.942385,0.002619,0.045455
4,read_only,1024,1,0.787529,0.941182,0.787529,0.787529,0.787529,1,0.787529,0.212471,0.000000,0.000000,0.787529,0.000000,0.000000
4,read_only,4096,1,0.289742,0.786845,0.289742,0.289742,0.289742,0,0.289742,0.609501,0.100757,0.000000,0.289742,0.000000,0.000000
4,read_only,16384,1,0.000000,0.447529,0.000000,0.000000,0.000000,0,0.000000,0.015641,0.984359,0.000000,0.000000,0.000000,0.000000
4,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.949463,0.050537,0.000000,0.000000,0.949463,0.050537,1.000000
4,snapshot,256,1,0.970599,0.986859,0.970599,0.970599,0.970599,1,0.923635,0.076365,0.000000,0.000000,0.923635,0.046964,0.615000
4,snapshot,1024,1,0.856252,0.951824,0.856252,0.856252,0.856252,1,0.832100,0.167900,0.000000,0.000000,0.832100,0.024153,0.143852
4,snapshot,4096,1,0.550955,0.856299,0.550955,0.550955,0.550955,1,0.546178,0.417994,0.035828,0.000000,0.546178,0.004777,0.010526
4,snapshot,16384,1,0.102564,0.608290,0.102564,0.102564,0.102564,0,0.102564,0.324786,0.572650,0.000000,0.102564,0.000000,0.000000
4,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.985878,0.014122,0.000000,0.000000,0.985878,0.014122,1.000000
4,union,256,1,0.944485,0.979756,0.944485,0.944485,0.944485,1,0.942083,0.057917,0.000000,0.000000,0.942083,0.002402,0.041480
4,union,1024,1,0.787133,0.941040,0.787133,0.787133,0.787133,1,0.787133,0.212867,0.000000,0.000000,0.787133,0.000000,0.000000
4,union,4096,1,0.288958,0.786782,0.288958,0.288958,0.288958,0,0.288958,0.610285,0.100757,0.000000,0.288958,0.000000,0.000000
4,union,16384,1,0.000000,0.447475,0.000000,0.000000,0.000000,0,0.000000,0.015641,0.984359,0.000000,0.000000,0.000000,0.000000
