gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
4,read_only,64,95,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999846,0.000154,0.000000,0.000000,0.999846,0.000154,1.000000
4,read_only,256,95,0.996814,0.998407,0.996814,0.767705,1.000000,1,0.996660,0.003340,0.000000,0.000000,0.996660,0.000154,0.400000
4,read_only,1024,95,0.994150,0.997841,0.994150,0.640449,1.000000,1,0.993845,0.004972,0.001183,0.000000,0.993845,0.000305,0.400000
4,read_only,4096,95,0.993276,0.997652,0.993276,0.652174,1.000000,1,0.992107,0.003275,0.004618,0.000000,0.992107,0.001170,0.400000
4,read_only,16384,95,0.882063,0.957144,0.882063,0.000000,1.000000,1,0.882063,0.112673,0.005263,0.000000,0.882063,0.000000,0.000000
4,snapshot,64,159,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999839,0.000156,0.000000,0.000000,0.999839,0.000156,1.000000
4,snapshot,256,159,0.997346,0.998673,0.997346,0.924977,1.000000,1,0.997185,0.002807,0.000000,0.000000,0.997183,0.000155,0.192959
4,snapshot,1024,159,0.991345,0.997208,0.991345,0.883636,1.000000,1,0.991020,0.008268,0.000683,0.000000,0.991012,0.000303,0.098102
4,snapshot,4096,159,0.986356,0.995342,0.986356,0.887324,1.000000,1,0.985320,0.005223,0.009457,0.000000,0.985180,0.001176,0.146242
4,snapshot,16384,159,0.770958,0.912188,0.770958,0.000000,1.000000,1,0.771339,0.204722,0.023940,0.000000,0.770958,0.000000,0.000000
4,union,64,95,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999846,0.000154,0.000000,0.000000,0.999846,0.000154,1.000000
4,union,256,95,0.996814,0.998407,0.996814,0.767705,1.000000,1,0.996660,0.003340,0.000000,0.000000,0.996660,0.000154,0.400000
4,union,1024,95,0.994150,0.997841,0.994150,0.640449,1.000000,1,0.993845,0.004972,0.001183,0.000000,0.993845,0.000305,0.400000
4,union,4096,95,0.993276,0.997652,0.993276,0.652174,1.000000,1,0.992107,0.003275,0.004618,0.000000,0.992107,0.001170,0.400000
4,union,16384,95,0.882063,0.957144,0.882063,0.000000,1.000000,1,0.882063,0.112673,0.005263,0.000000,0.882063,0.000000,0.000000
