sim_time,gpu_id,kernel_id,write_event_count,sharer_set_churn_count,false_invalidation_count
0.000417607,2,0,1,1,0
0.003622933,2,10,24,16,1
0.015037175,2,55,50,46,2
0.016386488,2,60,1,0,0
0.018290636,2,67,66,47,2
0.019142763,2,70,1,1,0
0.019771154,2,72,78,76,1
0.021421214,2,78,2,2,0
0.022219261,2,81,118,64,4
0.022948427,2,84,104,92,2
0.023890777,2,88,1,1,0
0.039212014,2,148,4,1,1
0.040576593,2,153,2,0,0
0.042442565,2,160,188,162,4
0.042719911,2,161,1,1,0
0.043880618,2,165,33,26,1
0.045298331,2,170,63,4,2
0.045585649,2,171,44,5,2
0.045829842,2,172,19,9,1
