sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.011842865,3,0,read_only,64,351017,1.000000,1.000000,1.000000,{"1":351016,"2":1},0.999997,0.000003,0.000000,0.000000,0.999997,0.000003,1.000000
0.011842865,3,0,union,64,351017,1.000000,1.000000,1.000000,{"1":351016,"2":1},0.999997,0.000003,0.000000,0.000000,0.999997,0.000003,1.000000
0.011842865,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.011842865,3,0,read_only,256,87843,0.999989,0.999997,0.999989,{"1":351016,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000000,0.000000
0.011842865,3,0,union,256,87843,0.999989,0.999997,0.999989,{"1":351016,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000000,0.000000
0.011842865,3,0,snapshot,256,3129,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999680,0.000320,0.000000,0.000000,0.999680,0.000320,1.000000
0.011842865,3,0,read_only,1024,22020,0.999909,0.999955,0.999909,{"1":351016,"2":1},0.999909,0.000091,0.000000,0.000000,0.999909,0.000000,0.000000
0.011842865,3,0,union,1024,22020,0.999909,0.999955,0.999909,{"1":351016,"2":1},0.999909,0.000091,0.000000,0.000000,0.999909,0.000000,0.000000
0.011842865,3,0,snapshot,1024,1435,0.999303,0.999861,0.999303,{"1":8191,"2":1},0.999303,0.000697,0.000000,0.000000,0.999303,0.000000,0.000000
0.011842865,3,0,read_only,4096,5516,0.999637,0.999861,0.999637,{"1":351016,"2":1},0.999637,0.000363,0.000000,0.000000,0.999637,0.000000,0.000000
0.011842865,3,0,union,4096,5516,0.999637,0.999861,0.999637,{"1":351016,"2":1},0.999637,0.000363,0.000000,0.000000,0.999637,0.000000,0.000000
0.011842865,3,0,snapshot,4096,455,0.997802,0.999780,0.997802,{"1":8191,"2":1},0.997802,0.002198,0.000000,0.000000,0.997802,0.000000,0.000000
0.011842865,3,0,read_only,16384,1383,0.996385,0.999257,0.996385,{"1":351016,"2":1},0.996385,0.003615,0.000000,0.000000,0.996385,0.000000,0.000000
0.011842865,3,0,union,16384,1383,0.996385,0.999257,0.996385,{"1":351016,"2":1},0.996385,0.003615,0.000000,0.000000,0.996385,0.000000,0.000000
0.011842865,3,0,snapshot,16384,138,0.992754,0.999275,0.992754,{"1":8191,"2":1},0.992754,0.007246,0.000000,0.000000,0.992754,0.000000,0.000000
0.016158164,3,1,read_only,64,213006,1.000000,1.000000,1.000000,{"1":209468,"2":1,"3":3537},0.983390,0.000005,0.016605,0.000000,0.983390,0.016610,1.000000
0.016158164,3,1,union,64,213006,1.000000,1.000000,1.000000,{"1":209468,"2":1,"3":3537},0.983390,0.000005,0.016605,0.000000,0.983390,0.016610,1.000000
0.016158164,3,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":4998,"3":3194},0.610107,0.000000,0.389893,0.000000,0.610107,0.389893,1.000000
0.016158164,3,1,read_only,256,55444,0.999982,0.999995,0.999982,{"1":209468,"2":1,"3":3537},0.984038,0.000000,0.015962,0.000000,0.984038,0.015944,0.998870
0.016158164,3,1,union,256,55444,0.999982,0.999995,0.999982,{"1":209468,"2":1,"3":3537},0.984038,0.000000,0.015962,0.000000,0.984038,0.015944,0.998870
0.016158164,3,1,snapshot,256,3383,1.000000,1.000000,1.000000,{"1":4998,"3":3194},0.738398,0.000000,0.261602,0.000000,0.738398,0.261602,1.000000
0.016158164,3,1,read_only,1024,14967,0.999933,0.999996,0.999933,{"1":209468,"2":1,"3":3537},0.985167,0.000000,0.014833,0.000000,0.985167,0.014766,0.995495
0.016158164,3,1,union,1024,14967,0.999933,0.999996,0.999933,{"1":209468,"2":1,"3":3537},0.985167,0.000000,0.014833,0.000000,0.985167,0.014766,0.995495
0.016158164,3,1,snapshot,1024,1961,1.000000,1.000000,1.000000,{"1":4998,"3":3194},0.886792,0.000000,0.113208,0.000000,0.886792,0.113208,1.000000
0.016158164,3,1,read_only,4096,3801,0.999737,0.999996,0.999737,{"1":209468,"2":1,"3":3537},0.985267,0.000000,0.014733,0.000000,0.985267,0.014470,0.982143
0.016158164,3,1,union,4096,3801,0.999737,0.999996,0.999737,{"1":209468,"2":1,"3":3537},0.985267,0.000000,0.014733,0.000000,0.985267,0.014470,0.982143
0.016158164,3,1,snapshot,4096,903,1.000000,1.000000,1.000000,{"1":4998,"3":3194},0.937984,0.000000,0.062016,0.000000,0.937984,0.062016,1.000000
0.016158164,3,1,read_only,16384,965,0.997927,0.999907,0.997927,{"1":209468,"2":1,"3":3537},0.984456,0.000000,0.015544,0.000000,0.984456,0.013472,0.866667
0.016158164,3,1,union,16384,965,0.997927,0.999907,0.997927,{"1":209468,"2":1,"3":3537},0.984456,0.000000,0.015544,0.000000,0.984456,0.013472,0.866667
0.016158164,3,1,snapshot,16384,356,1.000000,1.000000,1.000000,{"1":4998,"3":3194},0.957865,0.000000,0.042135,0.000000,0.957865,0.042135,1.000000
0.025522785,3,2,read_only,64,354499,1.000000,1.000000,1.000000,{"1":351121,"2":1,"3":3377},0.990471,0.000003,0.009526,0.000000,0.990471,0.009529,1.000000
