sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.010230485,3,0,read_only,64,176226,1.000000,1.000000,1.000000,{"1":176225,"2":1},0.999994,0.000006,0.000000,0.000000,0.999994,0.000006,1.000000
0.010230485,3,0,union,64,176226,1.000000,1.000000,1.000000,{"1":176225,"2":1},0.999994,0.000006,0.000000,0.000000,0.999994,0.000006,1.000000
0.010230485,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010230485,3,0,read_only,256,88168,0.999989,0.999994,0.999989,{"1":176225,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000000,0.000000
0.010230485,3,0,union,256,88168,0.999989,0.999994,0.999989,{"1":176225,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000000,0.000000
0.010230485,3,0,snapshot,256,4946,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010230485,3,0,read_only,1024,22092,0.999909,0.999955,0.999909,{"1":176225,"2":1},0.999909,0.000091,0.000000,0.000000,0.999909,0.000000,0.000000
0.010230485,3,0,union,1024,22092,0.999909,0.999955,0.999909,{"1":176225,"2":1},0.999909,0.000091,0.000000,0.000000,0.999909,0.000000,0.000000
0.010230485,3,0,snapshot,1024,1942,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010230485,3,0,read_only,4096,5529,0.999638,0.999859,0.999638,{"1":176225,"2":1},0.999638,0.000362,0.000000,0.000000,0.999638,0.000000,0.000000
0.010230485,3,0,union,4096,5529,0.999638,0.999859,0.999638,{"1":176225,"2":1},0.999638,0.000362,0.000000,0.000000,0.999638,0.000000,0.000000
0.010230485,3,0,snapshot,4096,655,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010230485,3,0,read_only,16384,1385,0.996390,0.999256,0.996390,{"1":176225,"2":1},0.996390,0.003610,0.000000,0.000000,0.996390,0.000000,0.000000
0.010230485,3,0,union,16384,1385,0.996390,0.999256,0.996390,{"1":176225,"2":1},0.996390,0.003610,0.000000,0.000000,0.996390,0.000000,0.000000
0.010230485,3,0,snapshot,16384,209,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.015048933,3,1,read_only,64,164424,1.000000,1.000000,1.000000,{"1":162655,"2":1,"3":1768},0.989241,0.000006,0.010753,0.000000,0.989241,0.010759,1.000000
0.015048933,3,1,union,64,164425,1.000000,1.000000,1.000000,{"1":162655,"2":1,"3":1769},0.989235,0.000006,0.010759,0.000000,0.989235,0.010765,1.000000
0.015048933,3,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":6490,"3":1702},0.792236,0.000000,0.207764,0.000000,0.792236,0.207764,1.000000
0.015048933,3,1,read_only,256,82554,0.999988,0.999994,0.999988,{"1":162655,"2":1,"3":1768},0.989268,0.000012,0.010720,0.000000,0.989268,0.010720,0.998871
0.015048933,3,1,union,256,82554,0.999988,0.999994,0.999988,{"1":162655,"2":1,"3":1769},0.989268,0.000012,0.010720,0.000000,0.989268,0.010720,0.998871
0.015048933,3,1,snapshot,256,5260,1.000000,1.000000,1.000000,{"1":6490,"3":1702},0.831939,0.000000,0.168061,0.000000,0.831939,0.168061,1.000000
0.015048933,3,1,read_only,1024,20786,0.999952,0.999976,0.999952,{"1":162655,"2":1,"3":1768},0.989272,0.000048,0.010680,0.000000,0.989272,0.010680,0.995516
0.015048933,3,1,union,1024,20786,0.999952,0.999976,0.999952,{"1":162655,"2":1,"3":1769},0.989272,0.000048,0.010680,0.000000,0.989272,0.010680,0.995516
0.015048933,3,1,snapshot,1024,2416,1.000000,1.000000,1.000000,{"1":6490,"3":1702},0.908113,0.000000,0.091887,0.000000,0.908113,0.091887,1.000000
0.015048933,3,1,read_only,4096,5213,0.999808,0.999922,0.999808,{"1":162655,"2":1,"3":1768},0.989066,0.000192,0.010742,0.000000,0.989066,0.010742,0.982456
0.015048933,3,1,union,4096,5213,0.999808,0.999922,0.999808,{"1":162655,"2":1,"3":1769},0.989066,0.000192,0.010742,0.000000,0.989066,0.010742,0.982456
0.015048933,3,1,snapshot,4096,684,1.000000,1.000000,1.000000,{"1":6490,"3":1702},0.918129,0.000000,0.081871,0.000000,0.918129,0.081871,1.000000
0.015048933,3,1,read_only,16384,1314,0.996956,0.999448,0.996956,{"1":162655,"2":1,"3":1768},0.986301,0.002283,0.011416,0.000000,0.986301,0.010654,0.777778
0.015048933,3,1,union,16384,1314,0.996956,0.999448,0.996956,{"1":162655,"2":1,"3":1769},0.986301,0.002283,0.011416,0.000000,0.986301,0.010654,0.777778
0.015048933,3,1,snapshot,16384,187,1.000000,1.000000,1.000000,{"1":6490,"3":1702},0.919786,0.000000,0.080214,0.000000,0.919786,0.080214,1.000000
