sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.001100913,3,0,read_only,64,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,union,64,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,snapshot,64,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,read_only,256,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,union,256,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,snapshot,256,3308,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,read_only,1024,1655,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,union,1024,1655,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,snapshot,1024,1655,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,read_only,4096,415,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,union,4096,415,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,snapshot,4096,415,1.000000,1.000000,1.000000,{"1":3308},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.001100913,3,0,read_only,16384,106,0.971698,0.992925,0.971698,{"1":3308},0.971698,0.028302,0.000000,0.000000,0.971698,0.000000,0.000000
0.001100913,3,0,union,16384,106,0.971698,0.992925,0.971698,{"1":3308},0.971698,0.028302,0.000000,0.000000,0.971698,0.000000,0.000000
0.001100913,3,0,snapshot,16384,106,0.971698,0.992925,0.971698,{"1":3308},0.971698,0.028302,0.000000,0.000000,0.971698,0.000000,0.000000
0.001580329,3,1,read_only,64,2802,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.954318,0.000000,0.045682,0.000000,0.954318,0.045682,1.000000
0.001580329,3,1,union,64,2802,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.954318,0.000000,0.045682,0.000000,0.954318,0.045682,1.000000
0.001580329,3,1,snapshot,64,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.001580329,3,1,read_only,256,2802,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.954318,0.000000,0.045682,0.000000,0.954318,0.045682,1.000000
0.001580329,3,1,union,256,2802,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.954318,0.000000,0.045682,0.000000,0.954318,0.045682,1.000000
0.001580329,3,1,snapshot,256,3340,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961677,0.000000,0.038323,0.000000,0.961677,0.038323,1.000000
0.001580329,3,1,read_only,1024,1448,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.955801,0.000000,0.044199,0.000000,0.955801,0.044199,1.000000
0.001580329,3,1,union,1024,1448,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.955801,0.000000,0.044199,0.000000,0.955801,0.044199,1.000000
0.001580329,3,1,snapshot,1024,1671,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961700,0.000000,0.038300,0.000000,0.961700,0.038300,1.000000
0.001580329,3,1,read_only,4096,397,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.959698,0.000000,0.040302,0.000000,0.959698,0.040302,1.000000
0.001580329,3,1,union,4096,397,1.000000,1.000000,1.000000,{"1":2674,"3":128},0.959698,0.000000,0.040302,0.000000,0.959698,0.040302,1.000000
0.001580329,3,1,snapshot,4096,419,1.000000,1.000000,1.000000,{"1":3212,"3":128},0.961814,0.000000,0.038186,0.000000,0.961814,0.038186,1.000000
0.001580329,3,1,read_only,16384,106,0.981132,0.995283,0.981132,{"1":2674,"3":128},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
0.001580329,3,1,union,16384,106,0.981132,0.995283,0.981132,{"1":2674,"3":128},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
0.001580329,3,1,snapshot,16384,106,0.981132,0.995283,0.981132,{"1":3212,"3":128},0.933962,0.018868,0.047170,0.000000,0.933962,0.047170,0.714286
0.002061000,3,2,read_only,64,3125,1.000000,1.000000,1.000000,{"1":3121,"3":4},0.998720,0.000000,0.001280,0.000000,0.998720,0.001280,1.000000
0.002061000,3,2,union,64,3215,1.000000,1.000000,1.000000,{"1":3211,"3":4},0.998756,0.000000,0.001244,0.000000,0.998756,0.001244,1.000000
0.002061000,3,2,snapshot,64,3340,1.000000,1.000000,1.000000,{"1":3302,"3":38},0.988623,0.000000,0.011377,0.000000,0.988623,0.011377,1.000000
0.002061000,3,2,read_only,256,3125,1.000000,1.000000,1.000000,{"1":3121,"3":4},0.998720,0.000000,0.001280,0.000000,0.998720,0.001280,1.000000
0.002061000,3,2,union,256,3215,1.000000,1.000000,1.000000,{"1":3211,"3":4},0.998756,0.000000,0.001244,0.000000,0.998756,0.001244,1.000000
