sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.010072965,5,0,read_only,64,89921,1.000000,1.000000,1.000000,{"1":89920,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.010072965,5,0,union,64,89921,1.000000,1.000000,1.000000,{"1":89920,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.010072965,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010072965,5,0,read_only,256,89921,1.000000,1.000000,1.000000,{"1":89920,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.010072965,5,0,union,256,89921,1.000000,1.000000,1.000000,{"1":89920,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.010072965,5,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010072965,5,0,read_only,1024,22522,0.999956,0.999989,0.999956,{"1":89920,"2":1},0.999956,0.000044,0.000000,0.000000,0.999956,0.000000,0.000000
0.010072965,5,0,union,1024,22522,0.999956,0.999989,0.999956,{"1":89920,"2":1},0.999956,0.000044,0.000000,0.000000,0.999956,0.000000,0.000000
0.010072965,5,0,snapshot,1024,3220,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010072965,5,0,read_only,4096,5632,0.999822,0.999945,0.999822,{"1":89920,"2":1},0.999822,0.000178,0.000000,0.000000,0.999822,0.000000,0.000000
0.010072965,5,0,union,4096,5632,0.999822,0.999945,0.999822,{"1":89920,"2":1},0.999822,0.000178,0.000000,0.000000,0.999822,0.000000,0.000000
0.010072965,5,0,snapshot,4096,1085,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.010072965,5,0,read_only,16384,1410,0.997872,0.999364,0.997872,{"1":89920,"2":1},0.997872,0.002128,0.000000,0.000000,0.997872,0.000000,0.000000
0.010072965,5,0,union,16384,1410,0.997872,0.999364,0.997872,{"1":89920,"2":1},0.997872,0.002128,0.000000,0.000000,0.997872,0.000000,0.000000
0.010072965,5,0,snapshot,16384,382,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.014221878,5,1,read_only,64,90112,1.000000,1.000000,1.000000,{"1":90111,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.014221878,5,1,union,64,90112,1.000000,1.000000,1.000000,{"1":90111,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.014221878,5,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.014221878,5,1,read_only,256,90112,1.000000,1.000000,1.000000,{"1":90111,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.014221878,5,1,union,256,90112,1.000000,1.000000,1.000000,{"1":90111,"2":1},0.999989,0.000011,0.000000,0.000000,0.999989,0.000011,1.000000
0.014221878,5,1,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":8191,"2":1},0.999878,0.000122,0.000000,0.000000,0.999878,0.000122,1.000000
0.014221878,5,1,read_only,1024,22528,0.999956,0.999989,0.999956,{"1":90111,"2":1},0.999956,0.000044,0.000000,0.000000,0.999956,0.000000,0.000000
0.014221878,5,1,union,1024,22528,0.999956,0.999989,0.999956,{"1":90111,"2":1},0.999956,0.000044,0.000000,0.000000,0.999956,0.000000,0.000000
0.014221878,5,1,snapshot,1024,3346,0.999701,0.999925,0.999701,{"1":8191,"2":1},0.999701,0.000299,0.000000,0.000000,0.999701,0.000000,0.000000
0.014221878,5,1,read_only,4096,5632,0.999822,0.999945,0.999822,{"1":90111,"2":1},0.999822,0.000178,0.000000,0.000000,0.999822,0.000000,0.000000
0.014221878,5,1,union,4096,5632,0.999822,0.999945,0.999822,{"1":90111,"2":1},0.999822,0.000178,0.000000,0.000000,0.999822,0.000000,0.000000
