sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.005749032,4,0,read_only,64,164101,1.000000,1.000000,1.000000,{"1":164099,"2":2},0.999988,0.000012,0.000000,0.000000,0.999988,0.000012,1.000000
0.005749032,4,0,union,64,164101,1.000000,1.000000,1.000000,{"1":164099,"2":2},0.999988,0.000012,0.000000,0.000000,0.999988,0.000012,1.000000
0.005749032,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005749032,4,0,read_only,256,41033,0.999951,0.999988,0.999951,{"1":164099,"2":2},0.999951,0.000049,0.000000,0.000000,0.999951,0.000000,0.000000
0.005749032,4,0,union,256,41033,0.999951,0.999988,0.999951,{"1":164099,"2":2},0.999951,0.000049,0.000000,0.000000,0.999951,0.000000,0.000000
0.005749032,4,0,snapshot,256,3051,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005749032,4,0,read_only,1024,10261,0.999805,0.999963,0.999805,{"1":164099,"2":2},0.999805,0.000195,0.000000,0.000000,0.999805,0.000000,0.000000
0.005749032,4,0,union,1024,10261,0.999805,0.999963,0.999805,{"1":164099,"2":2},0.999805,0.000195,0.000000,0.000000,0.999805,0.000000,0.000000
0.005749032,4,0,snapshot,1024,1304,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005749032,4,0,read_only,4096,2567,0.999221,0.999823,0.999221,{"1":164099,"2":2},0.999221,0.000779,0.000000,0.000000,0.999221,0.000000,0.000000
0.005749032,4,0,union,4096,2567,0.999221,0.999823,0.999221,{"1":164099,"2":2},0.999221,0.000779,0.000000,0.000000,0.999221,0.000000,0.000000
0.005749032,4,0,snapshot,4096,522,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.005749032,4,0,read_only,16384,646,0.993808,0.999011,0.993808,{"1":164099,"2":2},0.993808,0.006192,0.000000,0.000000,0.993808,0.000000,0.000000
0.005749032,4,0,union,16384,646,0.993808,0.999011,0.993808,{"1":164099,"2":2},0.993808,0.006192,0.000000,0.000000,0.993808,0.000000,0.000000
0.005749032,4,0,snapshot,16384,215,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008775970,4,1,read_only,64,130538,1.000000,1.000000,1.000000,{"1":130536,"2":2},0.999985,0.000015,0.000000,0.000000,0.999985,0.000015,1.000000
0.008775970,4,1,union,64,130538,1.000000,1.000000,1.000000,{"1":130536,"2":2},0.999985,0.000015,0.000000,0.000000,0.999985,0.000015,1.000000
0.008775970,4,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008775970,4,1,read_only,256,34428,0.999971,0.999993,0.999971,{"1":130536,"2":2},0.999942,0.000058,0.000000,0.000000,0.999942,0.000029,0.500000
0.008775970,4,1,union,256,34428,0.999971,0.999993,0.999971,{"1":130536,"2":2},0.999942,0.000058,0.000000,0.000000,0.999942,0.000029,0.500000
0.008775970,4,1,snapshot,256,3824,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008775970,4,1,read_only,1024,9143,0.999891,0.999991,0.999891,{"1":130536,"2":2},0.999781,0.000219,0.000000,0.000000,0.999781,0.000109,0.500000
0.008775970,4,1,union,1024,9143,0.999891,0.999991,0.999891,{"1":130536,"2":2},0.999781,0.000219,0.000000,0.000000,0.999781,0.000109,0.500000
0.008775970,4,1,snapshot,1024,1978,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008775970,4,1,read_only,4096,2361,0.999153,0.999890,0.999153,{"1":130536,"2":2},0.999153,0.000847,0.000000,0.000000,0.999153,0.000000,0.000000
0.008775970,4,1,union,4096,2361,0.999153,0.999890,0.999153,{"1":130536,"2":2},0.999153,0.000847,0.000000,0.000000,0.999153,0.000000,0.000000
0.008775970,4,1,snapshot,4096,768,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.008775970,4,1,read_only,16384,611,0.995090,0.999001,0.995090,{"1":130536,"2":2},0.995090,0.004910,0.000000,0.000000,0.995090,0.000000,0.000000
0.008775970,4,1,union,16384,611,0.995090,0.999001,0.995090,{"1":130536,"2":2},0.995090,0.004910,0.000000,0.000000,0.995090,0.000000,0.000000
0.008775970,4,1,snapshot,16384,245,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.012235065,4,2,read_only,64,164145,1.000000,1.000000,1.000000,{"1":164143,"2":2},0.999988,0.000012,0.000000,0.000000,0.999988,0.000012,1.000000
0.012235065,4,2,union,64,164145,1.000000,1.000000,1.000000,{"1":164143,"2":2},0.999988,0.000012,0.000000,0.000000,0.999988,0.000012,1.000000
0.012235065,4,2,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.012235065,4,2,read_only,256,41038,0.999951,0.999988,0.999951,{"1":164143,"2":2},0.999951,0.000049,0.000000,0.000000,0.999951,0.000000,0.000000
0.012235065,4,2,union,256,41038,0.999951,0.999988,0.999951,{"1":164143,"2":2},0.999951,0.000049,0.000000,0.000000,0.999951,0.000000,0.000000
0.012235065,4,2,snapshot,256,3371,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.012235065,4,2,read_only,1024,10261,0.999805,0.999963,0.999805,{"1":164143,"2":2},0.999805,0.000195,0.000000,0.000000,0.999805,0.000000,0.000000
0.012235065,4,2,union,1024,10261,0.999805,0.999963,0.999805,{"1":164143,"2":2},0.999805,0.000195,0.000000,0.000000,0.999805,0.000000,0.000000
0.012235065,4,2,snapshot,1024,1347,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.012235065,4,2,read_only,4096,2567,0.999221,0.999823,0.999221,{"1":164143,"2":2},0.999221,0.000779,0.000000,0.000000,0.999221,0.000000,0.000000
0.012235065,4,2,union,4096,2567,0.999221,0.999823,0.999221,{"1":164143,"2":2},0.999221,0.000779,0.000000,0.000000,0.999221,0.000000,0.000000
0.012235065,4,2,snapshot,4096,432,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.012235065,4,2,read_only,16384,646,0.993808,0.999011,0.993808,{"1":164143,"2":2},0.993808,0.006192,0.000000,0.000000,0.993808,0.000000,0.000000
0.012235065,4,2,union,16384,646,0.993808,0.999011,0.993808,{"1":164143,"2":2},0.993808,0.006192,0.000000,0.000000,0.993808,0.000000,0.000000
0.012235065,4,2,snapshot,16384,148,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
