gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,3,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.990863,0.000085,0.009052,0.000000,0.990863,0.009137,1.000000
3,read_only,256,3,0.999688,0.999920,0.999688,0.999063,1.000000,1,0.991057,0.000000,0.008943,0.000000,0.991057,0.008630,0.971200
3,read_only,1024,3,0.998844,0.999916,0.998844,0.996612,1.000000,1,0.990856,0.000027,0.009117,0.000000,0.990856,0.007987,0.594480
3,read_only,4096,3,0.997141,0.999877,0.997141,0.991745,1.000000,1,0.990382,0.000107,0.009510,0.000000,0.990382,0.006759,0.491667
3,read_only,16384,3,0.993227,0.999517,0.993227,0.986068,0.997449,1,0.987943,0.001704,0.010353,0.000000,0.987943,0.005284,0.338384
3,snapshot,64,3,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.890259,0.001261,0.108480,0.000000,0.890259,0.109741,1.000000
3,snapshot,256,3,0.997221,0.999162,0.997221,0.991664,1.000000,1,0.924472,0.000096,0.075433,0.000000,0.924472,0.072750,0.976800
3,snapshot,1024,3,0.994724,0.999570,0.994724,0.984172,1.000000,1,0.958949,0.000000,0.041051,0.000000,0.958949,0.035775,0.910828
3,snapshot,4096,3,0.991589,0.999757,0.991589,0.974768,1.000000,1,0.973960,0.000000,0.026040,0.000000,0.973960,0.017629,0.762500
3,snapshot,16384,3,0.988253,0.999797,0.988253,0.964758,1.000000,1,0.972978,0.000000,0.027022,0.000000,0.972978,0.015275,0.636364
3,union,64,3,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.990871,0.000085,0.009044,0.000000,0.990871,0.009129,1.000000
3,union,256,3,0.999547,0.999880,0.999547,0.999063,1.000000,1,0.991064,0.000000,0.008936,0.000000,0.991064,0.008483,0.951238
3,union,1024,3,0.998283,0.999833,0.998283,0.996612,0.999920,1,0.990860,0.000027,0.009113,0.000000,0.990860,0.007423,0.546535
3,union,4096,3,0.996074,0.999691,0.996074,0.991745,0.999679,1,0.990382,0.000107,0.009510,0.000000,0.990382,0.005692,0.408333
3,union,16384,3,0.991526,0.998999,0.991526,0.986068,0.996164,1,0.987943,0.001704,0.010353,0.000000,0.987943,0.003583,0.227273
