gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
5,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.996644,0.003356,0.000000,0.000000,0.996644,0.003356,1.000000
5,read_only,256,1,0.986667,0.995000,0.986667,0.986667,0.986667,1,0.986667,0.013333,0.000000,0.000000,0.986667,0.000000,0.000000
5,read_only,1024,1,0.947368,0.979989,0.947368,0.947368,0.947368,1,0.947368,0.052632,0.000000,0.000000,0.947368,0.000000,0.000000
5,read_only,4096,1,0.800000,0.970871,0.800000,0.800000,0.800000,1,0.800000,0.200000,0.000000,0.000000,0.800000,0.000000,0.000000
5,read_only,16384,1,0.428571,0.819519,0.428571,0.428571,0.428571,1,0.428571,0.571429,0.000000,0.000000,0.428571,0.000000,0.000000
5,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.996644,0.003356,0.000000,0.000000,0.996644,0.003356,1.000000
5,snapshot,256,1,0.986667,0.995000,0.986667,0.986667,0.986667,1,0.986667,0.013333,0.000000,0.000000,0.986667,0.000000,0.000000
5,snapshot,1024,1,0.947368,0.979989,0.947368,0.947368,0.947368,1,0.947368,0.052632,0.000000,0.000000,0.947368,0.000000,0.000000
5,snapshot,4096,1,0.800000,0.970871,0.800000,0.800000,0.800000,1,0.800000,0.200000,0.000000,0.000000,0.800000,0.000000,0.000000
5,snapshot,16384,1,0.428571,0.819519,0.428571,0.428571,0.428571,1,0.428571,0.571429,0.000000,0.000000,0.428571,0.000000,0.000000
5,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.996644,0.003356,0.000000,0.000000,0.996644,0.003356,1.000000
5,union,256,1,0.986667,0.995000,0.986667,0.986667,0.986667,1,0.986667,0.013333,0.000000,0.000000,0.986667,0.000000,0.000000
5,union,1024,1,0.947368,0.979989,0.947368,0.947368,0.947368,1,0.947368,0.052632,0.000000,0.000000,0.947368,0.000000,0.000000
5,union,4096,1,0.800000,0.970871,0.800000,0.800000,0.800000,1,0.800000,0.200000,0.000000,0.000000,0.800000,0.000000,0.000000
5,union,16384,1,0.428571,0.819519,0.428571,0.428571,0.428571,1,0.428571,0.571429,0.000000,0.000000,0.428571,0.000000,0.000000
