gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
2,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
2,read_only,256,1,0.999979,0.999992,0.999979,0.999979,0.999979,1,0.999979,0.000021,0.000000,0.000000,0.999979,0.000000,0.000000
2,read_only,1024,1,0.999914,0.999973,0.999914,0.999914,0.999914,1,0.999914,0.000086,0.000000,0.000000,0.999914,0.000000,0.000000
2,read_only,4096,1,0.999658,0.999850,0.999658,0.999658,0.999658,1,0.999658,0.000342,0.000000,0.000000,0.999658,0.000000,0.000000
2,read_only,16384,1,0.995902,0.998991,0.995902,0.995902,0.995902,1,0.995902,0.004098,0.000000,0.000000,0.995902,0.000000,0.000000
2,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
2,snapshot,256,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
2,snapshot,1024,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
2,snapshot,4096,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
2,snapshot,16384,1,0.996805,0.998509,0.996805,0.996805,0.996805,1,0.996805,0.003195,0.000000,0.000000,0.996805,0.000000,0.000000
2,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
2,union,256,1,0.999979,0.999992,0.999979,0.999979,0.999979,1,0.999979,0.000021,0.000000,0.000000,0.999979,0.000000,0.000000
2,union,1024,1,0.999914,0.999973,0.999914,0.999914,0.999914,1,0.999914,0.000086,0.000000,0.000000,0.999914,0.000000,0.000000
2,union,4096,1,0.999658,0.999850,0.999658,0.999658,0.999658,1,0.999658,0.000342,0.000000,0.000000,0.999658,0.000000,0.000000
2,union,16384,1,0.995902,0.998991,0.995902,0.995902,0.995902,1,0.995902,0.004098,0.000000,0.000000,0.995902,0.000000,0.000000
