sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.054194037,3,0,read_only,64,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,union,64,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":7918,"3":274},0.966553,0.000000,0.033447,0.000000,0.966553,0.033447,1.000000
0.054194037,3,0,read_only,256,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,union,256,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":7918,"3":274},0.966553,0.000000,0.033447,0.000000,0.966553,0.033447,1.000000
0.054194037,3,0,read_only,1024,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,union,1024,22522,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977267,0.000000,0.022733,0.000000,0.977267,0.022733,1.000000
0.054194037,3,0,snapshot,1024,8192,1.000000,1.000000,1.000000,{"1":7918,"3":274},0.966553,0.000000,0.033447,0.000000,0.966553,0.033447,1.000000
0.054194037,3,0,read_only,4096,5633,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977277,0.000000,0.022723,0.000000,0.977277,0.022723,1.000000
0.054194037,3,0,union,4096,5633,1.000000,1.000000,1.000000,{"1":22010,"3":512},0.977277,0.000000,0.022723,0.000000,0.977277,0.022723,1.000000
0.054194037,3,0,snapshot,4096,2602,1.000000,1.000000,1.000000,{"1":7918,"3":274},0.971945,0.000000,0.028055,0.000000,0.971945,0.028055,1.000000
0.054194037,3,0,read_only,16384,1412,0.995751,0.998555,0.995751,{"1":22010,"3":512},0.973796,0.002833,0.023371,0.000000,0.973796,0.021955,0.837838
0.054194037,3,0,union,16384,1412,0.995751,0.998555,0.995751,{"1":22010,"3":512},0.973796,0.002833,0.023371,0.000000,0.973796,0.021955,0.837838
0.054194037,3,0,snapshot,16384,772,0.998705,0.999529,0.998705,{"1":7918,"3":274},0.974093,0.001295,0.024611,0.000000,0.974093,0.024611,0.950000
