sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.032195664,4,0,read_only,64,200676,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,union,64,200676,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,read_only,256,50170,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,union,256,50170,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,snapshot,256,5664,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,read_only,1024,12544,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,union,1024,12544,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,snapshot,1024,2308,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,read_only,4096,3137,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,union,4096,3137,1.000000,1.000000,1.000000,{"1":200676},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,snapshot,4096,713,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032195664,4,0,read_only,16384,788,0.994924,0.998180,0.994924,{"1":200676},0.994924,0.005076,0.000000,0.000000,0.994924,0.000000,0.000000
0.032195664,4,0,union,16384,788,0.994924,0.998180,0.994924,{"1":200676},0.994924,0.005076,0.000000,0.000000,0.994924,0.000000,0.000000
0.032195664,4,0,snapshot,16384,216,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
