sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.032109747,5,0,read_only,64,196320,1.000000,1.000000,1.000000,{"1":196319,"2":1},0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
0.032109747,5,0,union,64,196320,1.000000,1.000000,1.000000,{"1":196319,"2":1},0.999995,0.000005,0.000000,0.000000,0.999995,0.000005,1.000000
0.032109747,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032109747,5,0,read_only,256,49105,0.999980,0.999995,0.999980,{"1":196319,"2":1},0.999980,0.000020,0.000000,0.000000,0.999980,0.000000,0.000000
0.032109747,5,0,union,256,49105,0.999980,0.999995,0.999980,{"1":196319,"2":1},0.999980,0.000020,0.000000,0.000000,0.999980,0.000000,0.000000
0.032109747,5,0,snapshot,256,5913,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032109747,5,0,read_only,1024,12279,0.999919,0.999980,0.999919,{"1":196319,"2":1},0.999919,0.000081,0.000000,0.000000,0.999919,0.000000,0.000000
0.032109747,5,0,union,1024,12279,0.999919,0.999980,0.999919,{"1":196319,"2":1},0.999919,0.000081,0.000000,0.000000,0.999919,0.000000,0.000000
0.032109747,5,0,snapshot,1024,2224,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032109747,5,0,read_only,4096,3071,0.999674,0.999852,0.999674,{"1":196319,"2":1},0.999674,0.000326,0.000000,0.000000,0.999674,0.000000,0.000000
0.032109747,5,0,union,4096,3071,0.999674,0.999852,0.999674,{"1":196319,"2":1},0.999674,0.000326,0.000000,0.000000,0.999674,0.000000,0.000000
0.032109747,5,0,snapshot,4096,675,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.032109747,5,0,read_only,16384,772,0.994819,0.998204,0.994819,{"1":196319,"2":1},0.994819,0.005181,0.000000,0.000000,0.994819,0.000000,0.000000
0.032109747,5,0,union,16384,772,0.994819,0.998204,0.994819,{"1":196319,"2":1},0.994819,0.005181,0.000000,0.000000,0.994819,0.000000,0.000000
0.032109747,5,0,snapshot,16384,211,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
