gpu_id,view,region_size_bytes,num_kernels,avg_strict_ratio,avg_relaxed_ratio,avg_full_redundant_ratio,min_strict_ratio,max_strict_ratio,phase0_pass,avg_reg_card1_ratio,avg_reg_card2_ratio,avg_reg_card3_ratio,avg_reg_card4plus_ratio,avg_coalescable_private_ratio,avg_coalescable_shared_ratio,avg_shared_only_strict_ratio
3,read_only,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.961099,0.000087,0.038814,0.000000,0.961099,0.038901,1.000000
3,read_only,256,1,0.999709,0.999921,0.999709,0.999709,0.999709,1,0.964849,0.000000,0.035151,0.000000,0.964849,0.034860,0.991718
3,read_only,1024,1,0.999030,0.999921,0.999030,0.999030,0.999030,1,0.964781,0.000000,0.035219,0.000000,0.964781,0.034249,0.972452
3,read_only,4096,1,0.998060,0.999904,0.998060,0.998060,0.998060,1,0.964688,0.000000,0.035312,0.000000,0.964688,0.033372,0.945055
3,read_only,16384,1,0.993818,0.998327,0.993818,0.993818,0.993818,1,0.961360,0.003091,0.035549,0.000000,0.961360,0.032457,0.840000
3,snapshot,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.672852,0.001221,0.325928,0.000000,0.672852,0.327148,1.000000
3,snapshot,256,1,0.998587,0.999503,0.998587,0.998587,0.998587,1,0.865306,0.000000,0.134694,0.000000,0.865306,0.133281,0.989510
3,snapshot,1024,1,0.996738,0.999723,0.996738,0.996738,0.996738,1,0.915912,0.000000,0.084088,0.000000,0.915912,0.080826,0.961207
3,snapshot,4096,1,0.994512,0.999769,0.994512,0.994512,0.994512,1,0.933041,0.000000,0.066959,0.000000,0.933041,0.061471,0.918033
3,snapshot,16384,1,0.990854,0.998888,0.990854,0.990854,0.990854,1,0.948171,0.003049,0.048780,0.000000,0.948171,0.042683,0.823529
3,union,64,1,1.000000,1.000000,1.000000,1.000000,1.000000,1,0.961099,0.000087,0.038814,0.000000,0.961099,0.038901,1.000000
3,union,256,1,0.999709,0.999921,0.999709,0.999709,0.999709,1,0.964849,0.000000,0.035151,0.000000,0.964849,0.034860,0.991718
3,union,1024,1,0.999030,0.999921,0.999030,0.999030,0.999030,1,0.964781,0.000000,0.035219,0.000000,0.964781,0.034249,0.972452
3,union,4096,1,0.998060,0.999904,0.998060,0.998060,0.998060,1,0.964688,0.000000,0.035312,0.000000,0.964688,0.033372,0.945055
3,union,16384,1,0.993818,0.998327,0.993818,0.993818,0.993818,1,0.961360,0.003091,0.035549,0.000000,0.961360,0.032457,0.840000
