sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.012434528,5,0,read_only,64,329550,1.000000,1.000000,1.000000,{"1":328754,"2":796},0.997585,0.002415,0.000000,0.000000,0.997585,0.002415,1.000000
0.012434528,5,0,union,64,329550,1.000000,1.000000,1.000000,{"1":328754,"2":796},0.997585,0.002415,0.000000,0.000000,0.997585,0.002415,1.000000
0.012434528,5,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"0":2,"1":7913,"2":277},0.965942,0.033813,0.000000,0.000000,0.965942,0.033813,1.000000
0.012434528,5,0,read_only,256,86389,0.990774,0.996538,0.990774,{"1":328754,"2":796},0.990774,0.009226,0.000000,0.000000,0.990774,0.000000,0.000000
0.012434528,5,0,union,256,86389,0.990774,0.996538,0.990774,{"1":328754,"2":796},0.990774,0.009226,0.000000,0.000000,0.990774,0.000000,0.000000
0.012434528,5,0,snapshot,256,4690,0.964392,0.986478,0.964392,{"0":2,"1":7913,"2":277},0.940938,0.059062,0.000000,0.000000,0.940725,0.023667,0.400722
0.012434528,5,0,read_only,1024,24083,0.915376,0.976895,0.915376,{"1":328754,"2":796},0.915376,0.084624,0.000000,0.000000,0.915376,0.000000,0.000000
0.012434528,5,0,union,1024,24083,0.915376,0.976895,0.915376,{"1":328754,"2":796},0.915376,0.084624,0.000000,0.000000,0.915376,0.000000,0.000000
0.012434528,5,0,snapshot,1024,3410,0.930792,0.982846,0.930792,{"0":2,"1":7913,"2":277},0.918768,0.081232,0.000000,0.000000,0.918475,0.012317,0.151625
0.012434528,5,0,read_only,4096,7554,0.560895,0.887607,0.560895,{"1":328754,"2":796},0.560895,0.438576,0.000530,0.000000,0.560895,0.000000,0.000000
0.012434528,5,0,union,4096,7554,0.560895,0.887607,0.560895,{"1":328754,"2":796},0.560895,0.438576,0.000530,0.000000,0.560895,0.000000,0.000000
0.012434528,5,0,snapshot,4096,2975,0.901849,0.974434,0.901849,{"0":2,"1":7913,"2":277},0.891765,0.108235,0.000000,0.000000,0.891429,0.010420,0.096273
0.012434528,5,0,read_only,16384,1928,0.028527,0.382301,0.028527,{"1":328754,"2":796},0.028527,0.016079,0.955394,0.000000,0.028527,0.000000,0.000000
0.012434528,5,0,union,16384,1928,0.028527,0.382301,0.028527,{"1":328754,"2":796},0.028527,0.016079,0.955394,0.000000,0.028527,0.000000,0.000000
0.012434528,5,0,snapshot,16384,1626,0.381304,0.755912,0.381304,{"0":2,"1":7913,"2":277},0.376384,0.417589,0.206027,0.000000,0.375769,0.005535,0.008876
0.018274881,5,1,read_only,64,334667,1.000000,1.000000,1.000000,{"1":330978,"2":3689},0.988977,0.011023,0.000000,0.000000,0.988977,0.011023,1.000000
0.018274881,5,1,union,64,334707,1.000000,1.000000,1.000000,{"1":330978,"2":3729},0.988859,0.011141,0.000000,0.000000,0.988859,0.011141,1.000000
0.018274881,5,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.018274881,5,1,read_only,256,90842,0.961053,0.985468,0.961053,{"1":330978,"2":3689},0.959105,0.040895,0.000000,0.000000,0.959105,0.001948,0.047645
0.018274881,5,1,union,256,90842,0.960921,0.985384,0.960921,{"1":330978,"2":3729},0.958973,0.041027,0.000000,0.000000,0.958973,0.001948,0.047491
0.018274881,5,1,snapshot,256,4658,1.000000,1.000000,1.000000,{"1":8192},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.018274881,5,1,read_only,1024,24791,0.849946,0.956851,0.849946,{"1":330978,"2":3689},0.849865,0.150135,0.000000,0.000000,0.849865,0.000081,0.000537
0.018274881,5,1,union,1024,24791,0.849744,0.956774,0.849744,{"1":330978,"2":3729},0.849663,0.150337,0.000000,0.000000,0.849663,0.000081,0.000537
