sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.013920918,4,0,read_only,64,955,1.000000,1.000000,1.000000,{"1":955},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,union,64,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,snapshot,64,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,read_only,256,955,1.000000,1.000000,1.000000,{"1":955},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,union,256,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,snapshot,256,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,read_only,1024,955,1.000000,1.000000,1.000000,{"1":955},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,union,1024,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,snapshot,1024,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,read_only,4096,955,1.000000,1.000000,1.000000,{"1":955},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,union,4096,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,snapshot,4096,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,read_only,16384,955,1.000000,1.000000,1.000000,{"1":955},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,union,16384,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.013920918,4,0,snapshot,16384,1922,1.000000,1.000000,1.000000,{"1":1922},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,read_only,64,4,1.000000,1.000000,1.000000,{"1":4},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,union,64,1918,1.000000,1.000000,1.000000,{"1":1918},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,snapshot,64,1927,1.000000,1.000000,1.000000,{"1":1927},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,read_only,256,4,1.000000,1.000000,1.000000,{"1":4},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,union,256,1918,1.000000,1.000000,1.000000,{"1":1918},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,snapshot,256,1927,1.000000,1.000000,1.000000,{"1":1927},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,read_only,1024,4,1.000000,1.000000,1.000000,{"1":4},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,union,1024,1918,1.000000,1.000000,1.000000,{"1":1918},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,snapshot,1024,1927,1.000000,1.000000,1.000000,{"1":1927},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,read_only,4096,4,1.000000,1.000000,1.000000,{"1":4},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,union,4096,1918,1.000000,1.000000,1.000000,{"1":1918},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,snapshot,4096,1927,1.000000,1.000000,1.000000,{"1":1927},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
0.021916303,4,1,read_only,16384,4,1.000000,1.000000,1.000000,{"1":4},1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,-1.000000
