sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.012185865,4,0,read_only,64,92548,1.000000,1.000000,1.000000,{"1":90222,"2":2326},0.974867,0.025133,0.000000,0.000000,0.974867,0.025133,1.000000
0.012185865,4,0,union,64,92548,1.000000,1.000000,1.000000,{"1":90222,"2":2326},0.974867,0.025133,0.000000,0.000000,0.974867,0.025133,1.000000
0.012185865,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":7695,"2":497},0.939331,0.060669,0.000000,0.000000,0.939331,0.060669,1.000000
0.012185865,4,0,read_only,256,92548,1.000000,1.000000,1.000000,{"1":90222,"2":2326},0.974867,0.025133,0.000000,0.000000,0.974867,0.025133,1.000000
0.012185865,4,0,union,256,92548,1.000000,1.000000,1.000000,{"1":90222,"2":2326},0.974867,0.025133,0.000000,0.000000,0.974867,0.025133,1.000000
0.012185865,4,0,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":7695,"2":497},0.939331,0.060669,0.000000,0.000000,0.939331,0.060669,1.000000
0.012185865,4,0,read_only,1024,24676,0.863106,0.950448,0.863106,{"1":90222,"2":2326},0.863106,0.136894,0.000000,0.000000,0.863106,0.000000,0.000000
0.012185865,4,0,union,1024,24676,0.863106,0.950448,0.863106,{"1":90222,"2":2326},0.863106,0.136894,0.000000,0.000000,0.863106,0.000000,0.000000
0.012185865,4,0,snapshot,1024,4886,0.942284,0.977521,0.942284,{"1":7695,"2":497},0.898281,0.101719,0.000000,0.000000,0.898281,0.044003,0.432596
0.012185865,4,0,read_only,4096,7702,0.525967,0.868565,0.525967,{"1":90222,"2":2326},0.525967,0.473773,0.000260,0.000000,0.525967,0.000000,0.000000
0.012185865,4,0,union,4096,7702,0.525967,0.868565,0.525967,{"1":90222,"2":2326},0.525967,0.473773,0.000260,0.000000,0.525967,0.000000,0.000000
0.012185865,4,0,snapshot,4096,3990,0.904261,0.966947,0.904261,{"1":7695,"2":497},0.875188,0.124812,0.000000,0.000000,0.875188,0.029073,0.232932
0.012185865,4,0,read_only,16384,1927,0.028023,0.368265,0.028023,{"1":90222,"2":2326},0.028023,0.015568,0.956409,0.000000,0.028023,0.000000,0.000000
0.012185865,4,0,union,16384,1927,0.028023,0.368265,0.028023,{"1":90222,"2":2326},0.028023,0.015568,0.956409,0.000000,0.028023,0.000000,0.000000
0.012185865,4,0,snapshot,16384,1903,0.187073,0.653004,0.187073,{"1":7695,"2":497},0.186022,0.584866,0.229112,0.000000,0.186022,0.001051,0.001291
0.017539822,4,1,read_only,64,92538,1.000000,1.000000,1.000000,{"1":90226,"2":2312},0.975016,0.024984,0.000000,0.000000,0.975016,0.024984,1.000000
0.017539822,4,1,union,64,92554,1.000000,1.000000,1.000000,{"1":90229,"2":2325},0.974880,0.025120,0.000000,0.000000,0.974880,0.025120,1.000000
0.017539822,4,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":7118,"2":1074},0.868896,0.131104,0.000000,0.000000,0.868896,0.131104,1.000000
0.017539822,4,1,read_only,256,92538,1.000000,1.000000,1.000000,{"1":90226,"2":2312},0.975016,0.024984,0.000000,0.000000,0.975016,0.024984,1.000000
0.017539822,4,1,union,256,92554,1.000000,1.000000,1.000000,{"1":90229,"2":2325},0.974880,0.025120,0.000000,0.000000,0.974880,0.025120,1.000000
0.017539822,4,1,snapshot,256,8192,1.000000,1.000000,1.000000,{"1":7118,"2":1074},0.868896,0.131104,0.000000,0.000000,0.868896,0.131104,1.000000
0.017539822,4,1,read_only,1024,24678,0.863076,0.950550,0.863076,{"1":90226,"2":2312},0.863076,0.136924,0.000000,0.000000,0.863076,0.000000,0.000000
0.017539822,4,1,union,1024,24678,0.863076,0.950442,0.863076,{"1":90229,"2":2325},0.863076,0.136924,0.000000,0.000000,0.863076,0.000000,0.000000
0.017539822,4,1,snapshot,1024,5115,0.854350,0.936201,0.854350,{"1":7118,"2":1074},0.790029,0.209971,0.000000,0.000000,0.790029,0.064321,0.306331
0.017539822,4,1,read_only,4096,7703,0.526029,0.868665,0.526029,{"1":90226,"2":2312},0.526029,0.473712,0.000260,0.000000,0.526029,0.000000,0.000000
0.017539822,4,1,union,4096,7703,0.526029,0.868582,0.526029,{"1":90229,"2":2325},0.526029,0.473712,0.000260,0.000000,0.526029,0.000000,0.000000
0.017539822,4,1,snapshot,4096,4203,0.754223,0.899120,0.754223,{"1":7118,"2":1074},0.738758,0.261242,0.000000,0.000000,0.738758,0.015465,0.059199
