sim_time,gpu_id,kernel_id,view,region_size_bytes,num_regions_with_entries,strict_coalescable_ratio,avg_relaxed_ratio,full_redundant_ratio,sharer_set_cardinality_dist_json,reg_card1_ratio,reg_card2_ratio,reg_card3_ratio,reg_card4plus_ratio,coalescable_private_ratio,coalescable_shared_ratio,shared_only_strict_ratio
0.006416973,4,0,read_only,64,174508,1.000000,1.000000,1.000000,{"1":173188,"2":1320},0.992436,0.007564,0.000000,0.000000,0.992436,0.007564,1.000000
0.006416973,4,0,union,64,174508,1.000000,1.000000,1.000000,{"1":173188,"2":1320},0.992436,0.007564,0.000000,0.000000,0.992436,0.007564,1.000000
0.006416973,4,0,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":7626,"2":566},0.930908,0.069092,0.000000,0.000000,0.930908,0.069092,1.000000
0.006416973,4,0,read_only,256,46486,0.972013,0.989120,0.972013,{"1":173188,"2":1320},0.971669,0.028331,0.000000,0.000000,0.971669,0.000344,0.012149
0.006416973,4,0,union,256,46486,0.972013,0.989120,0.972013,{"1":173188,"2":1320},0.971669,0.028331,0.000000,0.000000,0.971669,0.000344,0.012149
0.006416973,4,0,snapshot,256,4671,0.939842,0.974256,0.939842,{"1":7626,"2":566},0.878827,0.121173,0.000000,0.000000,0.878827,0.061015,0.503534
0.006416973,4,0,read_only,1024,12768,0.826128,0.952355,0.826128,{"1":173188,"2":1320},0.826128,0.173872,0.000000,0.000000,0.826128,0.000000,0.000000
0.006416973,4,0,union,1024,12768,0.826128,0.952355,0.826128,{"1":173188,"2":1320},0.826128,0.173872,0.000000,0.000000,0.826128,0.000000,0.000000
0.006416973,4,0,snapshot,1024,2553,0.815511,0.952499,0.815511,{"1":7626,"2":566},0.778300,0.221700,0.000000,0.000000,0.778300,0.037211,0.167845
0.006416973,4,0,read_only,4096,3857,0.304641,0.799066,0.304641,{"1":173188,"2":1320},0.304641,0.621727,0.073632,0.000000,0.304641,0.000000,0.000000
0.006416973,4,0,union,4096,3857,0.304641,0.799066,0.304641,{"1":173188,"2":1320},0.304641,0.621727,0.073632,0.000000,0.304641,0.000000,0.000000
0.006416973,4,0,snapshot,4096,1664,0.621394,0.888298,0.621394,{"1":7626,"2":566},0.611779,0.385817,0.002404,0.000000,0.611779,0.009615,0.024768
0.006416973,4,0,read_only,16384,966,0.002070,0.440681,0.002070,{"1":173188,"2":1320},0.002070,0.033126,0.964803,0.000000,0.002070,0.000000,0.000000
0.006416973,4,0,union,16384,966,0.002070,0.440681,0.002070,{"1":173188,"2":1320},0.002070,0.033126,0.964803,0.000000,0.002070,0.000000,0.000000
0.006416973,4,0,snapshot,16384,744,0.291667,0.708813,0.291667,{"1":7626,"2":566},0.283602,0.645161,0.071237,0.000000,0.283602,0.008065,0.011257
0.009398296,4,1,read_only,64,164627,1.000000,1.000000,1.000000,{"1":163334,"2":1293},0.992146,0.007854,0.000000,0.000000,0.992146,0.007854,1.000000
0.009398296,4,1,union,64,164650,1.000000,1.000000,1.000000,{"1":163334,"2":1316},0.992007,0.007993,0.000000,0.000000,0.992007,0.007993,1.000000
0.009398296,4,1,snapshot,64,8192,1.000000,1.000000,1.000000,{"1":7833,"2":359},0.956177,0.043823,0.000000,0.000000,0.956177,0.043823,1.000000
0.009398296,4,1,read_only,256,44110,0.973475,0.990159,0.973475,{"1":163334,"2":1293},0.970302,0.029698,0.000000,0.000000,0.970302,0.003174,0.106870
0.009398296,4,1,union,256,44110,0.973339,0.990061,0.973339,{"1":163334,"2":1316},0.970165,0.029835,0.000000,0.000000,0.970165,0.003174,0.106383
0.009398296,4,1,snapshot,256,5553,0.983252,0.992857,0.983252,{"1":7833,"2":359},0.935350,0.064650,0.000000,0.000000,0.935350,0.047902,0.740947
0.009398296,4,1,read_only,1024,12412,0.821544,0.954368,0.821544,{"1":163334,"2":1293},0.821544,0.178456,0.000000,0.000000,0.821544,0.000000,0.000000
0.009398296,4,1,union,1024,12412,0.821221,0.954276,0.821221,{"1":163334,"2":1316},0.821221,0.178779,0.000000,0.000000,0.821221,0.000000,0.000000
0.009398296,4,1,snapshot,1024,3478,0.922657,0.971759,0.922657,{"1":7833,"2":359},0.896780,0.103220,0.000000,0.000000,0.896780,0.025877,0.250696
0.009398296,4,1,read_only,4096,3857,0.327716,0.807573,0.327716,{"1":163334,"2":1293},0.327716,0.598911,0.073373,0.000000,0.327716,0.000000,0.000000
