workload	region_size	max_entries	summary_line
simpleconvolution	64	0	M1_SUMMARY workload=simpleconvolution R=64 cap=0 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=5336832 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R64_cap0_seed42.parquet
simpleconvolution	256	0	M1_SUMMARY workload=simpleconvolution R=256 cap=0 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=5585408 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R256_cap0_seed42.parquet
simpleconvolution	1024	0	M1_SUMMARY workload=simpleconvolution R=1024 cap=0 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=6660096 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R1024_cap0_seed42.parquet
simpleconvolution	4096	0	M1_SUMMARY workload=simpleconvolution R=4096 cap=0 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=7286784 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R4096_cap0_seed42.parquet
simpleconvolution	16384	0	M1_SUMMARY workload=simpleconvolution R=16384 cap=0 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=7815168 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R16384_cap0_seed42.parquet
simpleconvolution	64	8192	M1_SUMMARY workload=simpleconvolution R=64 cap=8192 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=5336832 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R64_cap8192_seed42.parquet
simpleconvolution	256	8192	M1_SUMMARY workload=simpleconvolution R=256 cap=8192 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=5585408 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R256_cap8192_seed42.parquet
simpleconvolution	1024	8192	M1_SUMMARY workload=simpleconvolution R=1024 cap=8192 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=6660096 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R1024_cap8192_seed42.parquet
simpleconvolution	4096	8192	M1_SUMMARY workload=simpleconvolution R=4096 cap=8192 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=7286784 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R4096_cap8192_seed42.parquet
simpleconvolution	16384	8192	M1_SUMMARY workload=simpleconvolution R=16384 cap=8192 phases=3 RetiredWf=4129 RetiredInst=1266819 L2H=51062 L2M=32908 fetched=7815168 accessed=2671232 V11=PASS V12=PASS output=/root/mgpusim_home/mgpusim/results/m1/b70_smalltest/simpleconvolution_R16384_cap8192_seed42.parquet
