workload	region	seed	status	wall_clock_s	phases	retired_wf	l2h	l2m	fetched	accessed
simpleconvolution	64	42	PASS	58	3	4132	56909	33619	4213632	2105408
simpleconvolution	64	43	PASS	58	3	4132	56909	33619	4213632	2105408
simpleconvolution	64	44	PASS	58	3	4132	56909	33619	4213632	2105408
simpleconvolution	256	42	PASS	56	3	4132	56909	33619	4216320	2105408
simpleconvolution	256	43	PASS	57	3	4132	56909	33619	4216320	2105408
simpleconvolution	256	44	PASS	57	3	4132	56909	33619	4216320	2105408
simpleconvolution	1024	42	PASS	59	3	4132	56909	33619	4229120	2105408
simpleconvolution	1024	43	PASS	58	3	4132	56909	33619	4229120	2105408
simpleconvolution	1024	44	PASS	66	3	4132	56909	33619	4229120	2105408
simpleconvolution	4096	42	PASS	66	3	4132	56909	33619	4284416	2105408
simpleconvolution	4096	43	PASS	64	3	4132	56909	33619	4284416	2105408
simpleconvolution	4096	44	PASS	63	3	4132	56909	33619	4284416	2105408
simpleconvolution	16384	42	PASS	64	3	4132	56909	33619	4325376	2105408
simpleconvolution	16384	43	PASS	67	3	4132	56909	33619	4325376	2105408
simpleconvolution	16384	44	PASS	66	3	4132	56909	33619	4325376	2105408
matrixtranspose	64	42	PASS	11	2	256	0	45154	4197888	2097152
matrixtranspose	64	43	PASS	10	2	256	0	45154	4197888	2097152
matrixtranspose	64	44	PASS	11	2	256	0	45154	4197888	2097152
matrixtranspose	256	42	PASS	11	2	256	0	45154	4199424	2097152
matrixtranspose	256	43	PASS	10	2	256	0	45154	4199424	2097152
matrixtranspose	256	44	PASS	11	2	256	0	45154	4199424	2097152
matrixtranspose	1024	42	PASS	10	2	256	0	45154	4206592	2097152
matrixtranspose	1024	43	PASS	11	2	256	0	45154	4206592	2097152
matrixtranspose	1024	44	PASS	10	2	256	0	45154	4206592	2097152
matrixtranspose	4096	42	PASS	11	2	256	0	45154	4243456	2097152
matrixtranspose	4096	43	PASS	10	2	256	0	45154	4243456	2097152
matrixtranspose	4096	44	PASS	11	2	256	0	45154	4243456	2097152
matrixtranspose	16384	42	PASS	10	2	256	0	45154	4325376	2097152
matrixtranspose	16384	43	PASS	10	2	256	0	45154	4325376	2097152
matrixtranspose	16384	44	PASS	10	2	256	0	45154	4325376	2097152
matrixmultiplication	64	42	PASS	23	4	64	16976	22644	1261056	626944
matrixmultiplication	64	43	PASS	23	4	64	16976	22644	1261056	626944
matrixmultiplication	64	44	PASS	24	4	64	16976	22644	1261056	626944
matrixmultiplication	256	42	PASS	23	4	64	16976	22644	1268736	626944
matrixmultiplication	256	43	PASS	24	4	64	16976	22644	1268736	626944
matrixmultiplication	256	44	PASS	24	4	64	16976	22644	1268736	626944
matrixmultiplication	1024	42	PASS	23	4	64	16976	22644	1343488	626944
matrixmultiplication	1024	43	PASS	24	4	64	16976	22644	1343488	626944
matrixmultiplication	1024	44	PASS	24	4	64	16976	22644	1343488	626944
matrixmultiplication	4096	42	PASS	23	4	64	16976	22644	1449984	626944
matrixmultiplication	4096	43	PASS	24	4	64	16976	22644	1449984	626944
matrixmultiplication	4096	44	PASS	23	4	64	16976	22644	1449984	626944
matrixmultiplication	16384	42	PASS	24	4	64	16976	22644	1802240	626944
matrixmultiplication	16384	43	PASS	23	4	64	16976	22644	1802240	626944
matrixmultiplication	16384	44	PASS	23	4	64	16976	22644	1802240	626944
pagerank	64	42	PASS	19	3	3072	13550	750	174976	90240
pagerank	64	43	PASS	19	3	3072	14605	750	179264	90240
pagerank	64	44	PASS	19	3	3072	13266	750	171712	90240
pagerank	256	42	PASS	19	3	3072	13550	750	184320	90240
pagerank	256	43	PASS	20	3	3072	14605	750	185600	90240
pagerank	256	44	PASS	19	3	3072	13266	750	184832	90240
pagerank	1024	42	PASS	20	3	3072	13550	750	195584	90240
pagerank	1024	43	PASS	19	3	3072	14605	750	195584	90240
pagerank	1024	44	PASS	20	3	3072	13266	750	195584	90240
pagerank	4096	42	PASS	19	3	3072	13550	750	229376	90240
pagerank	4096	43	PASS	19	3	3072	14605	750	229376	90240
pagerank	4096	44	PASS	19	3	3072	13266	750	229376	90240
pagerank	16384	42	PASS	20	3	3072	13550	750	311296	90240
pagerank	16384	43	PASS	19	3	3072	14605	750	311296	90240
pagerank	16384	44	PASS	20	3	3072	13266	750	311296	90240
fir	64	42	PASS	17	2	1024	255	8224	1050496	524352
fir	64	43	PASS	17	2	1024	255	8224	1050496	524352
fir	64	44	PASS	17	2	1024	255	8224	1050496	524352
fir	256	42	PASS	17	2	1024	255	8224	1053184	524352
fir	256	43	PASS	17	2	1024	255	8224	1053184	524352
fir	256	44	PASS	18	2	1024	255	8224	1053184	524352
fir	1024	42	PASS	16	2	1024	255	8224	1067008	524352
fir	1024	43	PASS	17	2	1024	255	8224	1067008	524352
fir	1024	44	PASS	16	2	1024	255	8224	1067008	524352
fir	4096	42	PASS	17	2	1024	255	8224	1122304	524352
fir	4096	43	PASS	17	2	1024	255	8224	1122304	524352
fir	4096	44	PASS	17	2	1024	255	8224	1122304	524352
fir	16384	42	PASS	17	2	1024	255	8224	1228800	524352
fir	16384	43	PASS	17	2	1024	255	8224	1228800	524352
fir	16384	44	PASS	17	2	1024	255	8224	1228800	524352
stencil2d	64	42	PASS	15	3	248	9437	31867	4073792	2034752
stencil2d	64	43	PASS	14	3	248	9437	31867	4073792	2034752
stencil2d	64	44	PASS	14	3	248	9437	31867	4073792	2034752
stencil2d	256	42	PASS	15	3	248	9437	31867	4201472	2034752
stencil2d	256	43	PASS	14	3	248	9437	31867	4201472	2034752
stencil2d	256	44	PASS	15	3	248	9437	31867	4201472	2034752
stencil2d	1024	42	PASS	15	3	248	9437	31867	4204544	2034752
stencil2d	1024	43	PASS	14	3	248	9437	31867	4204544	2034752
stencil2d	1024	44	PASS	15	3	248	9437	31867	4204544	2034752
stencil2d	4096	42	PASS	14	3	248	9437	31867	4218880	2034752
stencil2d	4096	43	PASS	14	3	248	9437	31867	4218880	2034752
stencil2d	4096	44	PASS	15	3	248	9437	31867	4218880	2034752
stencil2d	16384	42	PASS	15	3	248	9437	31867	4259840	2034752
stencil2d	16384	43	PASS	14	3	248	9437	31867	4259840	2034752
stencil2d	16384	44	PASS	15	3	248	9437	31867	4259840	2034752
