workload,region_size,seed,phase_index,active_regions,retired_wavefronts,region_fetched_bytes,region_accessed_bytes,l2hr,util,m1a,m2a,m3a,m4a,m5a
fir,1024,42,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,1024,42,1,1042,1024,1067008,524352,0.030074301214765894,0.49142274472168906,0.06348239307907884,75370.39554626205,0.030646598818135598,1.0,0.982725527831094
fir,1024,43,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,1024,43,1,1042,1024,1067008,524352,0.030074301214765894,0.49142274472168906,0.06348239307907884,75370.39554626205,0.030646598818135598,1.0,0.982725527831094
fir,1024,44,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,1024,44,1,1042,1024,1067008,524352,0.030074301214765894,0.49142274472168906,0.06348239307907884,75370.39554626205,0.030646598818135598,1.0,0.982725527831094
fir,16384,42,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,16384,42,1,75,1024,1228800,524352,0.030074301214765894,0.42671875,0.004569270135250396,75370.39554626205,0.030646598818135598,1.0,13.653333333333334
fir,16384,43,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,16384,43,1,75,1024,1228800,524352,0.030074301214765894,0.42671875,0.004569270135250396,75370.39554626205,0.030646598818135598,1.0,13.653333333333334
fir,16384,44,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,16384,44,1,75,1024,1228800,524352,0.030074301214765894,0.42671875,0.004569270135250396,75370.39554626205,0.030646598818135598,1.0,13.653333333333334
fir,256,42,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,256,42,1,4114,1024,1053184,524352,0.030074301214765894,0.49787311618862423,0.2506396978189351,75370.39554626205,0.030646598818135598,1.0,0.24890617403986387
fir,256,43,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,256,43,1,4114,1024,1053184,524352,0.030074301214765894,0.49787311618862423,0.2506396978189351,75370.39554626205,0.030646598818135598,1.0,0.24890617403986387
fir,256,44,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,256,44,1,4114,1024,1053184,524352,0.030074301214765894,0.49787311618862423,0.2506396978189351,75370.39554626205,0.030646598818135598,1.0,0.24890617403986387
fir,4096,42,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,4096,42,1,274,1024,1122304,524352,0.030074301214765894,0.4672103102189781,0.01669306689411478,75370.39554626205,0.030646598818135598,1.0,3.7372262773722627
fir,4096,43,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,4096,43,1,274,1024,1122304,524352,0.030074301214765894,0.4672103102189781,0.01669306689411478,75370.39554626205,0.030646598818135598,1.0,3.7372262773722627
fir,4096,44,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,4096,44,1,274,1024,1122304,524352,0.030074301214765894,0.4672103102189781,0.01669306689411478,75370.39554626205,0.030646598818135598,1.0,3.7372262773722627
fir,64,42,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,64,42,1,16414,1024,1050496,524352,0.030074301214765894,0.49914706957475324,1.0,75370.39554626205,0.030646598818135598,1.0,0.06238576824661874
fir,64,43,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,64,43,1,16414,1024,1050496,524352,0.030074301214765894,0.49914706957475324,1.0,75370.39554626205,0.030646598818135598,1.0,0.06238576824661874
fir,64,44,0,0,0,0,0,,,,0.0,0.0,0.0,
fir,64,44,1,16414,1024,1050496,524352,0.030074301214765894,0.49914706957475324,1.0,75370.39554626205,0.030646598818135598,1.0,0.06238576824661874
matrixmultiplication,1024,42,0,32,0,32768,1280,0.4782608695652174,0.0390625,0.34782608695652173,88558.31499752014,0.09054045378778564,0.07476635514018691,0.0
matrixmultiplication,1024,42,1,428,0,438272,207872,0.4185728558658043,0.4742990654205608,0.06532356532356533,71489.94231918221,0.059190996325660904,0.5023474178403756,0.0
matrixmultiplication,1024,42,2,852,64,872448,417792,0.43723982565257846,0.4788732394366197,0.06523736600306279,67092.61362624055,0.03343393866593779,0.0,0.07511737089201878
matrixmultiplication,1024,42,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,1024,43,0,32,0,32768,1280,0.4782608695652174,0.0390625,0.34782608695652173,88558.31499752014,0.09054045378778564,0.07476635514018691,0.0
matrixmultiplication,1024,43,1,428,0,438272,207872,0.4185728558658043,0.4742990654205608,0.06532356532356533,71489.94231918221,0.059190996325660904,0.5023474178403756,0.0
matrixmultiplication,1024,43,2,852,64,872448,417792,0.43723982565257846,0.4788732394366197,0.06523736600306279,67092.61362624055,0.03343393866593779,0.0,0.07511737089201878
matrixmultiplication,1024,43,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,1024,44,0,32,0,32768,1280,0.4782608695652174,0.0390625,0.34782608695652173,88558.31499752014,0.09054045378778564,0.07476635514018691,0.0
matrixmultiplication,1024,44,1,428,0,438272,207872,0.4185728558658043,0.4742990654205608,0.06532356532356533,71489.94231918221,0.059190996325660904,0.5023474178403756,0.0
matrixmultiplication,1024,44,2,852,64,872448,417792,0.43723982565257846,0.4788732394366197,0.06523736600306279,67092.61362624055,0.03343393866593779,0.0,0.07511737089201878
matrixmultiplication,1024,44,3,0,0,0,0,,,,0.0,0.0,,
matrixmultiplication,16384,42,0,13,0,212992,1280,0.4782608695652174,0.006009615384615385,0.14130434782608695,88558.31499752014,0.09054045378778564,0.3611111111111111,0.0
matrixmultiplication,16384,42,1,36,0,589824,207872,0.4185728558658043,0.3524305555555556,0.005494505494505495,71489.94231918221,0.059190996325660904,0.5901639344262295,0.0
