workload,region_size,phase_index,active_regions_mean,util_mean,m1a_mean,m2a_mean,m3a_mean,m4a_mean,m5a_mean
fir,64,0,0.0,,,0.0,0.0,0.0,
fir,64,1,16414.0,0.49914706957475324,1.0,75370.39554626205,0.030646598818135598,1.0,0.06238576824661874
fir,256,0,0.0,,,0.0,0.0,0.0,
fir,256,1,4114.0,0.49787311618862423,0.2506396978189351,75370.39554626205,0.030646598818135598,1.0,0.24890617403986384
fir,1024,0,0.0,,,0.0,0.0,0.0,
fir,1024,1,1042.0,0.49142274472168906,0.06348239307907884,75370.39554626205,0.030646598818135598,1.0,0.9827255278310941
fir,4096,0,0.0,,,0.0,0.0,0.0,
fir,4096,1,274.0,0.467210310218978,0.01669306689411478,75370.39554626205,0.030646598818135598,1.0,3.737226277372263
fir,16384,0,0.0,,,0.0,0.0,0.0,
fir,16384,1,75.0,0.42671875,0.004569270135250396,75370.39554626205,0.030646598818135598,1.0,13.653333333333334
matrixmultiplication,64,0,92.0,0.21739130434782608,1.0,88558.31499752014,0.09054045378778564,0.014041514041514042,0.0
matrixmultiplication,64,1,6552.0,0.49572649572649574,1.0,71489.94231918221,0.059190996325660904,0.5016845329249617,0.0
matrixmultiplication,64,2,13060.0,0.49984686064318523,1.0,67092.61362624055,0.03343393866593779,0.0,0.004900459418070444
matrixmultiplication,64,3,0.0,,,0.0,0.0,,
matrixmultiplication,256,0,40.0,0.125,0.43478260869565216,88558.31499752014,0.09054045378778564,0.024271844660194174,0.0
matrixmultiplication,256,1,1648.0,0.4927184466019418,0.2515262515262515,71489.94231918221,0.059190996325660904,0.5042839657282742,0.0
matrixmultiplication,256,2,3268.0,0.49938800489596086,0.25022970903522207,67092.61362624055,0.03343393866593779,0.0,0.019583843329253364
matrixmultiplication,256,3,0.0,,,0.0,0.0,,
matrixmultiplication,1024,0,32.0,0.0390625,0.34782608695652173,88558.31499752014,0.09054045378778564,0.07476635514018691,0.0
matrixmultiplication,1024,1,428.0,0.4742990654205608,0.06532356532356533,71489.94231918221,0.059190996325660904,0.5023474178403756,0.0
matrixmultiplication,1024,2,852.0,0.4788732394366197,0.06523736600306279,67092.61362624055,0.03343393866593779,0.0,0.07511737089201878
matrixmultiplication,1024,3,0.0,,,0.0,0.0,,
matrixmultiplication,4096,0,28.0,0.011160714285714286,0.30434782608695654,88558.31499752014,0.09054045378778564,0.2545454545454545,0.0
matrixmultiplication,4096,1,110.0,0.46136363636363636,0.016788766788766788,71489.94231918221,0.059190996325660904,0.5092592592592593,0.0
matrixmultiplication,4096,2,216.0,0.47222222222222215,0.01653905053598775,67092.61362624055,0.03343393866593779,0.0,0.2962962962962963
matrixmultiplication,4096,3,0.0,,,0.0,0.0,,
matrixmultiplication,16384,0,13.0,0.006009615384615385,0.14130434782608695,88558.31499752014,0.09054045378778564,0.3611111111111111,0.0
