workload,region_size,seed,phase_index,l2_hits,l2_misses,l2hr
fir,1024,42,0,0,0,
fir,1024,42,1,255,8224,0.030074301214765894
fir,1024,43,0,0,0,
fir,1024,43,1,255,8224,0.030074301214765894
fir,1024,44,0,0,0,
fir,1024,44,1,255,8224,0.030074301214765894
fir,16384,42,0,0,0,
fir,16384,42,1,255,8224,0.030074301214765894
fir,16384,43,0,0,0,
fir,16384,43,1,255,8224,0.030074301214765894
fir,16384,44,0,0,0,
fir,16384,44,1,255,8224,0.030074301214765894
fir,256,42,0,0,0,
fir,256,42,1,255,8224,0.030074301214765894
fir,256,43,0,0,0,
fir,256,43,1,255,8224,0.030074301214765894
fir,256,44,0,0,0,
fir,256,44,1,255,8224,0.030074301214765894
fir,4096,42,0,0,0,
fir,4096,42,1,255,8224,0.030074301214765894
fir,4096,43,0,0,0,
fir,4096,43,1,255,8224,0.030074301214765894
fir,4096,44,0,0,0,
fir,4096,44,1,255,8224,0.030074301214765894
fir,64,42,0,0,0,
fir,64,42,1,255,8224,0.030074301214765894
fir,64,43,0,0,0,
fir,64,43,1,255,8224,0.030074301214765894
fir,64,44,0,0,0,
fir,64,44,1,255,8224,0.030074301214765894
matrixmultiplication,1024,42,0,88,96,0.4782608695652174
matrixmultiplication,1024,42,1,7960,11057,0.4185728558658043
matrixmultiplication,1024,42,2,8928,11491,0.43723982565257846
matrixmultiplication,1024,42,3,0,0,
matrixmultiplication,1024,43,0,88,96,0.4782608695652174
matrixmultiplication,1024,43,1,7960,11057,0.4185728558658043
matrixmultiplication,1024,43,2,8928,11491,0.43723982565257846
matrixmultiplication,1024,43,3,0,0,
matrixmultiplication,1024,44,0,88,96,0.4782608695652174
matrixmultiplication,1024,44,1,7960,11057,0.4185728558658043
matrixmultiplication,1024,44,2,8928,11491,0.43723982565257846
matrixmultiplication,1024,44,3,0,0,
matrixmultiplication,16384,42,0,88,96,0.4782608695652174
matrixmultiplication,16384,42,1,7960,11057,0.4185728558658043
matrixmultiplication,16384,42,2,8928,11491,0.43723982565257846
