workload,region_size,seed,phase_index,l2hr,util,scr,l2_hits,l2_misses,region_fetched_bytes,region_accessed_bytes,active_regions,sharer_consistent_regions
fir,1024,42,0,,,,0,0,0,0,0,0
fir,1024,42,1,0.030074301214765894,0.49142274472168906,1.0,255,8224,1067008,524352,1042,1042
fir,1024,43,0,,,,0,0,0,0,0,0
fir,1024,43,1,0.030074301214765894,0.49142274472168906,1.0,255,8224,1067008,524352,1042,1042
fir,1024,44,0,,,,0,0,0,0,0,0
fir,1024,44,1,0.030074301214765894,0.49142274472168906,1.0,255,8224,1067008,524352,1042,1042
fir,16384,42,0,,,,0,0,0,0,0,0
fir,16384,42,1,0.030074301214765894,0.42671875,1.0,255,8224,1228800,524352,75,75
fir,16384,43,0,,,,0,0,0,0,0,0
fir,16384,43,1,0.030074301214765894,0.42671875,1.0,255,8224,1228800,524352,75,75
fir,16384,44,0,,,,0,0,0,0,0,0
fir,16384,44,1,0.030074301214765894,0.42671875,1.0,255,8224,1228800,524352,75,75
fir,256,42,0,,,,0,0,0,0,0,0
fir,256,42,1,0.030074301214765894,0.49787311618862423,1.0,255,8224,1053184,524352,4114,4114
fir,256,43,0,,,,0,0,0,0,0,0
fir,256,43,1,0.030074301214765894,0.49787311618862423,1.0,255,8224,1053184,524352,4114,4114
fir,256,44,0,,,,0,0,0,0,0,0
fir,256,44,1,0.030074301214765894,0.49787311618862423,1.0,255,8224,1053184,524352,4114,4114
fir,4096,42,0,,,,0,0,0,0,0,0
fir,4096,42,1,0.030074301214765894,0.4672103102189781,1.0,255,8224,1122304,524352,274,274
fir,4096,43,0,,,,0,0,0,0,0,0
fir,4096,43,1,0.030074301214765894,0.4672103102189781,1.0,255,8224,1122304,524352,274,274
fir,4096,44,0,,,,0,0,0,0,0,0
fir,4096,44,1,0.030074301214765894,0.4672103102189781,1.0,255,8224,1122304,524352,274,274
fir,64,42,0,,,,0,0,0,0,0,0
fir,64,42,1,0.030074301214765894,0.49914706957475324,1.0,255,8224,1050496,524352,16414,16414
fir,64,43,0,,,,0,0,0,0,0,0
fir,64,43,1,0.030074301214765894,0.49914706957475324,1.0,255,8224,1050496,524352,16414,16414
fir,64,44,0,,,,0,0,0,0,0,0
fir,64,44,1,0.030074301214765894,0.49914706957475324,1.0,255,8224,1050496,524352,16414,16414
matrixmultiplication,1024,42,0,0.4782608695652174,0.0390625,1.0,88,96,32768,1280,32,32
matrixmultiplication,1024,42,1,0.4185728558658043,0.4742990654205608,1.0,7960,11057,438272,207872,428,428
matrixmultiplication,1024,42,2,0.43723982565257846,0.4788732394366197,1.0,8928,11491,872448,417792,852,852
matrixmultiplication,1024,42,3,,,,0,0,0,0,0,0
matrixmultiplication,1024,43,0,0.4782608695652174,0.0390625,1.0,88,96,32768,1280,32,32
matrixmultiplication,1024,43,1,0.4185728558658043,0.4742990654205608,1.0,7960,11057,438272,207872,428,428
matrixmultiplication,1024,43,2,0.43723982565257846,0.4788732394366197,1.0,8928,11491,872448,417792,852,852
matrixmultiplication,1024,43,3,,,,0,0,0,0,0,0
matrixmultiplication,1024,44,0,0.4782608695652174,0.0390625,1.0,88,96,32768,1280,32,32
matrixmultiplication,1024,44,1,0.4185728558658043,0.4742990654205608,1.0,7960,11057,438272,207872,428,428
matrixmultiplication,1024,44,2,0.43723982565257846,0.4788732394366197,1.0,8928,11491,872448,417792,852,852
matrixmultiplication,1024,44,3,,,,0,0,0,0,0,0
matrixmultiplication,16384,42,0,0.4782608695652174,0.006009615384615385,1.0,88,96,212992,1280,13,13
matrixmultiplication,16384,42,1,0.4185728558658043,0.3524305555555556,1.0,7960,11057,589824,207872,36,36
matrixmultiplication,16384,42,2,0.43723982565257846,0.4180327868852459,1.0,8928,11491,999424,417792,61,61
matrixmultiplication,16384,42,3,,,,0,0,0,0,0,0
matrixmultiplication,16384,43,0,0.4782608695652174,0.006009615384615385,1.0,88,96,212992,1280,13,13
matrixmultiplication,16384,43,1,0.4185728558658043,0.3524305555555556,1.0,7960,11057,589824,207872,36,36
matrixmultiplication,16384,43,2,0.43723982565257846,0.4180327868852459,1.0,8928,11491,999424,417792,61,61
matrixmultiplication,16384,43,3,,,,0,0,0,0,0,0
matrixmultiplication,16384,44,0,0.4782608695652174,0.006009615384615385,1.0,88,96,212992,1280,13,13
matrixmultiplication,16384,44,1,0.4185728558658043,0.3524305555555556,1.0,7960,11057,589824,207872,36,36
matrixmultiplication,16384,44,2,0.43723982565257846,0.4180327868852459,1.0,8928,11491,999424,417792,61,61
matrixmultiplication,16384,44,3,,,,0,0,0,0,0,0
matrixmultiplication,256,42,0,0.4782608695652174,0.125,1.0,88,96,10240,1280,40,40
matrixmultiplication,256,42,1,0.4185728558658043,0.49271844660194175,1.0,7960,11057,421888,207872,1648,1648
matrixmultiplication,256,42,2,0.43723982565257846,0.49938800489596086,1.0,8928,11491,836608,417792,3268,3268
matrixmultiplication,256,42,3,,,,0,0,0,0,0,0
matrixmultiplication,256,43,0,0.4782608695652174,0.125,1.0,88,96,10240,1280,40,40
matrixmultiplication,256,43,1,0.4185728558658043,0.49271844660194175,1.0,7960,11057,421888,207872,1648,1648
matrixmultiplication,256,43,2,0.43723982565257846,0.49938800489596086,1.0,8928,11491,836608,417792,3268,3268
matrixmultiplication,256,43,3,,,,0,0,0,0,0,0
matrixmultiplication,256,44,0,0.4782608695652174,0.125,1.0,88,96,10240,1280,40,40
matrixmultiplication,256,44,1,0.4185728558658043,0.49271844660194175,1.0,7960,11057,421888,207872,1648,1648
matrixmultiplication,256,44,2,0.43723982565257846,0.49938800489596086,1.0,8928,11491,836608,417792,3268,3268
matrixmultiplication,256,44,3,,,,0,0,0,0,0,0
matrixmultiplication,4096,42,0,0.4782608695652174,0.011160714285714286,1.0,88,96,114688,1280,28,28
matrixmultiplication,4096,42,1,0.4185728558658043,0.46136363636363636,1.0,7960,11057,450560,207872,110,110
matrixmultiplication,4096,42,2,0.43723982565257846,0.4722222222222222,1.0,8928,11491,884736,417792,216,216
matrixmultiplication,4096,42,3,,,,0,0,0,0,0,0
matrixmultiplication,4096,43,0,0.4782608695652174,0.011160714285714286,1.0,88,96,114688,1280,28,28
matrixmultiplication,4096,43,1,0.4185728558658043,0.46136363636363636,1.0,7960,11057,450560,207872,110,110
matrixmultiplication,4096,43,2,0.43723982565257846,0.4722222222222222,1.0,8928,11491,884736,417792,216,216
matrixmultiplication,4096,43,3,,,,0,0,0,0,0,0
matrixmultiplication,4096,44,0,0.4782608695652174,0.011160714285714286,1.0,88,96,114688,1280,28,28
matrixmultiplication,4096,44,1,0.4185728558658043,0.46136363636363636,1.0,7960,11057,450560,207872,110,110
matrixmultiplication,4096,44,2,0.43723982565257846,0.4722222222222222,1.0,8928,11491,884736,417792,216,216
matrixmultiplication,4096,44,3,,,,0,0,0,0,0,0
matrixmultiplication,64,42,0,0.4782608695652174,0.21739130434782608,1.0,88,96,5888,1280,92,92
matrixmultiplication,64,42,1,0.4185728558658043,0.49572649572649574,1.0,7960,11057,419328,207872,6552,6552
matrixmultiplication,64,42,2,0.43723982565257846,0.4998468606431853,1.0,8928,11491,835840,417792,13060,13060
matrixmultiplication,64,42,3,,,,0,0,0,0,0,0
matrixmultiplication,64,43,0,0.4782608695652174,0.21739130434782608,1.0,88,96,5888,1280,92,92
matrixmultiplication,64,43,1,0.4185728558658043,0.49572649572649574,1.0,7960,11057,419328,207872,6552,6552
matrixmultiplication,64,43,2,0.43723982565257846,0.4998468606431853,1.0,8928,11491,835840,417792,13060,13060
matrixmultiplication,64,43,3,,,,0,0,0,0,0,0
